Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-0.5598, 2020-2039, bcc_csm1_1_m, Annual Anomaly, AND
-0.5958, 2020-2039, bcc_csm1_1, Annual Anomaly, AND
-0.7548, 2020-2039, ccsm4, Annual Anomaly, AND
-0.4547, 2020-2039, cesm1_cam5, Annual Anomaly, AND
-0.281, 2020-2039, csiro_mk3_6_0, Annual Anomaly, AND
-1.4473, 2020-2039, gfdl_cm3, Annual Anomaly, AND
-0.3474, 2020-2039, gfdl_esm2g, Annual Anomaly, AND
-0.3263, 2020-2039, gfdl_esm2m, Annual Anomaly, AND
0.01877, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, AND
-0.4166, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, AND
-0.3842, 2020-2039, miroc5, Annual Anomaly, AND
-0.8927, 2020-2039, miroc_esm_chem, Annual Anomaly, AND
-0.8393, 2020-2039, miroc_esm, Annual Anomaly, AND
-0.0914, 2020-2039, mri_cgcm3, Annual Anomaly, AND
-0.2561, 2020-2039, noresm1_m, Annual Anomaly, AND
-0.3027, 2020-2039, bcc_csm1_1_m, Annual Anomaly, ATG
-0.4917, 2020-2039, bcc_csm1_1, Annual Anomaly, ATG
-0.754, 2020-2039, ccsm4, Annual Anomaly, ATG
-0.6582, 2020-2039, cesm1_cam5, Annual Anomaly, ATG
-0.2895, 2020-2039, csiro_mk3_6_0, Annual Anomaly, ATG
-0.0099, 2020-2039, gfdl_cm3, Annual Anomaly, ATG
-0.051, 2020-2039, gfdl_esm2g, Annual Anomaly, ATG
0.1084, 2020-2039, gfdl_esm2m, Annual Anomaly, ATG
-0.2472, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, ATG
-0.5024, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, ATG
-0.1675, 2020-2039, miroc5, Annual Anomaly, ATG
0.23374, 2020-2039, miroc_esm_chem, Annual Anomaly, ATG
0.58736, 2020-2039, miroc_esm, Annual Anomaly, ATG
-0.4142, 2020-2039, mri_cgcm3, Annual Anomaly, ATG
-0.3602, 2020-2039, noresm1_m, Annual Anomaly, ATG
-0.436, 2020-2039, bcc_csm1_1_m, Annual Anomaly, AUS
-0.2821, 2020-2039, bcc_csm1_1, Annual Anomaly, AUS
-0.5296, 2020-2039, ccsm4, Annual Anomaly, AUS
-0.4187, 2020-2039, cesm1_cam5, Annual Anomaly, AUS
-0.5773, 2020-2039, csiro_mk3_6_0, Annual Anomaly, AUS
-0.5279, 2020-2039, gfdl_cm3, Annual Anomaly, AUS
-0.2332, 2020-2039, gfdl_esm2g, Annual Anomaly, AUS
-0.5008, 2020-2039, gfdl_esm2m, Annual Anomaly, AUS
-1.2468, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, AUS
-0.5108, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, AUS
-0.2087, 2020-2039, miroc5, Annual Anomaly, AUS
0.15212, 2020-2039, miroc_esm_chem, Annual Anomaly, AUS
0.2107, 2020-2039, miroc_esm, Annual Anomaly, AUS
-0.1654, 2020-2039, mri_cgcm3, Annual Anomaly, AUS
-0.0638, 2020-2039, noresm1_m, Annual Anomaly, AUS
-0.3587, 2020-2039, bcc_csm1_1_m, Annual Anomaly, AZE
-0.849, 2020-2039, bcc_csm1_1, Annual Anomaly, AZE
-0.236, 2020-2039, ccsm4, Annual Anomaly, AZE
0.01551, 2020-2039, cesm1_cam5, Annual Anomaly, AZE
-0.6667, 2020-2039, csiro_mk3_6_0, Annual Anomaly, AZE
-0.4135, 2020-2039, gfdl_cm3, Annual Anomaly, AZE
-0.4329, 2020-2039, gfdl_esm2g, Annual Anomaly, AZE
0.06653, 2020-2039, gfdl_esm2m, Annual Anomaly, AZE
-0.5069, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, AZE
-1.1877, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, AZE
0.02299, 2020-2039, miroc5, Annual Anomaly, AZE
-0.7916, 2020-2039, miroc_esm_chem, Annual Anomaly, AZE
-0.0863, 2020-2039, miroc_esm, Annual Anomaly, AZE
-0.362, 2020-2039, mri_cgcm3, Annual Anomaly, AZE
-0.2279, 2020-2039, noresm1_m, Annual Anomaly, AZE
-0.1328, 2020-2039, bcc_csm1_1_m, Annual Anomaly, BHS
0.82193, 2020-2039, bcc_csm1_1, Annual Anomaly, BHS
-0.0313, 2020-2039, ccsm4, Annual Anomaly, BHS
-0.1065, 2020-2039, cesm1_cam5, Annual Anomaly, BHS
0.28023, 2020-2039, csiro_mk3_6_0, Annual Anomaly, BHS
-0.2979, 2020-2039, gfdl_cm3, Annual Anomaly, BHS
-0.4212, 2020-2039, gfdl_esm2g, Annual Anomaly, BHS
0.13265, 2020-2039, gfdl_esm2m, Annual Anomaly, BHS
