Annual Severe Drought Likelihood - (Probability), Year, Model, Statistics, ISO3
0.33523, 2040-2059, access1_3, Annual Anomaly, AFG
0.65514, 2040-2059, bcc_csm1_1_m, Annual Anomaly, AFG
0.71488, 2040-2059, bcc_csm1_1, Annual Anomaly, AFG
0.55051, 2040-2059, bnu_esm, Annual Anomaly, AFG
0.34967, 2040-2059, canesm2, Annual Anomaly, AFG
0.04261, 2040-2059, ccsm4, Annual Anomaly, AFG
0.5019, 2040-2059, cesm1_bgc, Annual Anomaly, AFG
0.09166, 2040-2059, cesm1_cam5, Annual Anomaly, AFG
0.63775, 2040-2059, cmcc_cesm, Annual Anomaly, AFG
0.68197, 2040-2059, cmcc_cm, Annual Anomaly, AFG
0.68947, 2040-2059, cmcc_cms, Annual Anomaly, AFG
0.38306, 2040-2059, cnrm_cm5, Annual Anomaly, AFG
0.62908, 2040-2059, csiro_mk3_6_0, Annual Anomaly, AFG
0.44515, 2040-2059, gfdl_cm3, Annual Anomaly, AFG
0.56561, 2040-2059, gfdl_esm2g, Annual Anomaly, AFG
0.26531, 2040-2059, gfdl_esm2m, Annual Anomaly, AFG
0.08846, 2040-2059, inmcm4, Annual Anomaly, AFG
0.79625, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, AFG
0.8311, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, AFG
0.56017, 2040-2059, ipsl_cm5b_lr, Annual Anomaly, AFG
0.41467, 2040-2059, miroc5, Annual Anomaly, AFG
0.6696, 2040-2059, miroc_esm_chem, Annual Anomaly, AFG
0.42857, 2040-2059, miroc_esm, Annual Anomaly, AFG
0.32695, 2040-2059, mpi_esm_mr, Annual Anomaly, AFG
0.20396, 2040-2059, mri_cgcm3, Annual Anomaly, AFG
0.25278, 2040-2059, mri_esm1, Annual Anomaly, AFG
0.43498, 2040-2059, noresm1_m, Annual Anomaly, AFG
0.03587, 2040-2059, access1_3, Annual Anomaly, ALB
0.53496, 2040-2059, bcc_csm1_1_m, Annual Anomaly, ALB
0.21764, 2040-2059, bcc_csm1_1, Annual Anomaly, ALB
0.72245, 2040-2059, bnu_esm, Annual Anomaly, ALB
0.33248, 2040-2059, canesm2, Annual Anomaly, ALB
0.59272, 2040-2059, ccsm4, Annual Anomaly, ALB
0.2644, 2040-2059, cesm1_bgc, Annual Anomaly, ALB
0.16637, 2040-2059, cesm1_cam5, Annual Anomaly, ALB
0.54904, 2040-2059, cmcc_cesm, Annual Anomaly, ALB
0.47452, 2040-2059, cmcc_cm, Annual Anomaly, ALB
0.24303, 2040-2059, cmcc_cms, Annual Anomaly, ALB
0.22393, 2040-2059, cnrm_cm5, Annual Anomaly, ALB
0.6371, 2040-2059, csiro_mk3_6_0, Annual Anomaly, ALB
0.72266, 2040-2059, gfdl_cm3, Annual Anomaly, ALB
0.28302, 2040-2059, gfdl_esm2g, Annual Anomaly, ALB
0.36691, 2040-2059, gfdl_esm2m, Annual Anomaly, ALB
0.65038, 2040-2059, inmcm4, Annual Anomaly, ALB
0.15761, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, ALB
0.41272, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, ALB
0.48394, 2040-2059, ipsl_cm5b_lr, Annual Anomaly, ALB
0.39311, 2040-2059, miroc5, Annual Anomaly, ALB
0.82463, 2040-2059, miroc_esm_chem, Annual Anomaly, ALB
0.86565, 2040-2059, miroc_esm, Annual Anomaly, ALB
0.08198, 2040-2059, mpi_esm_mr, Annual Anomaly, ALB
0.26098, 2040-2059, mri_cgcm3, Annual Anomaly, ALB
0.18354, 2040-2059, mri_esm1, Annual Anomaly, ALB
