Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-0.7236, 2020-2039, bcc_csm1_1_m, Annual Anomaly, AFG
-0.6311, 2020-2039, bcc_csm1_1, Annual Anomaly, AFG
-0.4658, 2020-2039, bnu_esm, Annual Anomaly, AFG
-0.2027, 2020-2039, canesm2, Annual Anomaly, AFG
-0.2262, 2020-2039, ccsm4, Annual Anomaly, AFG
0.07313, 2020-2039, cesm1_cam5, Annual Anomaly, AFG
-0.6842, 2020-2039, cnrm_cm5, Annual Anomaly, AFG
-0.3893, 2020-2039, csiro_mk3_6_0, Annual Anomaly, AFG
-0.8404, 2020-2039, gfdl_cm3, Annual Anomaly, AFG
-0.7813, 2020-2039, gfdl_esm2g, Annual Anomaly, AFG
-0.1895, 2020-2039, gfdl_esm2m, Annual Anomaly, AFG
-1.147, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, AFG
-0.8548, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, AFG
-0.2929, 2020-2039, miroc5, Annual Anomaly, AFG
-0.8143, 2020-2039, miroc_esm_chem, Annual Anomaly, AFG
-0.5519, 2020-2039, miroc_esm, Annual Anomaly, AFG
-0.3518, 2020-2039, mpi_esm_mr, Annual Anomaly, AFG
-0.0875, 2020-2039, mri_cgcm3, Annual Anomaly, AFG
-0.5001, 2020-2039, noresm1_m, Annual Anomaly, AFG
-0.7525, 2020-2039, bcc_csm1_1_m, Annual Anomaly, DZA
-0.5815, 2020-2039, bcc_csm1_1, Annual Anomaly, DZA
-0.7774, 2020-2039, bnu_esm, Annual Anomaly, DZA
-0.6206, 2020-2039, canesm2, Annual Anomaly, DZA
-0.9327, 2020-2039, ccsm4, Annual Anomaly, DZA
-0.3293, 2020-2039, cesm1_cam5, Annual Anomaly, DZA
-0.6919, 2020-2039, cnrm_cm5, Annual Anomaly, DZA
-0.5463, 2020-2039, csiro_mk3_6_0, Annual Anomaly, DZA
-1.5015, 2020-2039, gfdl_cm3, Annual Anomaly, DZA
-0.2403, 2020-2039, gfdl_esm2g, Annual Anomaly, DZA
-0.563, 2020-2039, gfdl_esm2m, Annual Anomaly, DZA
-0.8206, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, DZA
-1.2706, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, DZA
-0.728, 2020-2039, miroc5, Annual Anomaly, DZA
-0.7901, 2020-2039, miroc_esm_chem, Annual Anomaly, DZA
-0.7227, 2020-2039, miroc_esm, Annual Anomaly, DZA
-1.2347, 2020-2039, mpi_esm_mr, Annual Anomaly, DZA
