Annual Severe Drought Likelihood - (Probability), Year, Model, Statistics, ISO3
0.44603, 2040-2059, bcc_csm1_1_m, Annual Anomaly, AFG
0.15365, 2040-2059, bcc_csm1_1, Annual Anomaly, AFG
0.22169, 2040-2059, bnu_esm, Annual Anomaly, AFG
0.21284, 2040-2059, canesm2, Annual Anomaly, AFG
0.1025, 2040-2059, ccsm4, Annual Anomaly, AFG
0.14402, 2040-2059, cesm1_cam5, Annual Anomaly, AFG
0.22824, 2040-2059, cnrm_cm5, Annual Anomaly, AFG
0.71767, 2040-2059, csiro_mk3_6_0, Annual Anomaly, AFG
0.27949, 2040-2059, gfdl_cm3, Annual Anomaly, AFG
0.29139, 2040-2059, gfdl_esm2g, Annual Anomaly, AFG
0.04124, 2040-2059, gfdl_esm2m, Annual Anomaly, AFG
0.67649, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, AFG
0.37692, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, AFG
0.30781, 2040-2059, miroc5, Annual Anomaly, AFG
0.29008, 2040-2059, miroc_esm_chem, Annual Anomaly, AFG
0.61229, 2040-2059, miroc_esm, Annual Anomaly, AFG
0.17063, 2040-2059, mpi_esm_mr, Annual Anomaly, AFG
0.00755, 2040-2059, mri_cgcm3, Annual Anomaly, AFG
0.23451, 2040-2059, noresm1_m, Annual Anomaly, AFG
0.45731, 2040-2059, bcc_csm1_1_m, Annual Anomaly, ALB
0.04023, 2040-2059, bcc_csm1_1, Annual Anomaly, ALB
0.32696, 2040-2059, bnu_esm, Annual Anomaly, ALB
0.40114, 2040-2059, canesm2, Annual Anomaly, ALB
0.24339, 2040-2059, ccsm4, Annual Anomaly, ALB
0.06364, 2040-2059, cesm1_cam5, Annual Anomaly, ALB
-0.0227, 2040-2059, cnrm_cm5, Annual Anomaly, ALB
0.48513, 2040-2059, csiro_mk3_6_0, Annual Anomaly, ALB
0.29217, 2040-2059, gfdl_cm3, Annual Anomaly, ALB
0.0736, 2040-2059, gfdl_esm2g, Annual Anomaly, ALB
0.04742, 2040-2059, gfdl_esm2m, Annual Anomaly, ALB
0.33237, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, ALB
0.12079, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, ALB
0.14944, 2040-2059, miroc5, Annual Anomaly, ALB
0.64849, 2040-2059, miroc_esm_chem, Annual Anomaly, ALB
0.60929, 2040-2059, miroc_esm, Annual Anomaly, ALB
-0.0681, 2040-2059, mpi_esm_mr, Annual Anomaly, ALB
0.02359, 2040-2059, mri_cgcm3, Annual Anomaly, ALB
0.40559, 2040-2059, noresm1_m, Annual Anomaly, ALB
0.58268, 2040-2059, bcc_csm1_1_m, Annual Anomaly, DZA
0.43393, 2040-2059, bcc_csm1_1, Annual Anomaly, DZA
0.35665, 2040-2059, bnu_esm, Annual Anomaly, DZA
0.39286, 2040-2059, canesm2, Annual Anomaly, DZA
0.3344, 2040-2059, ccsm4, Annual Anomaly, DZA
0.2622, 2040-2059, cesm1_cam5, Annual Anomaly, DZA
0.12348, 2040-2059, cnrm_cm5, Annual Anomaly, DZA
0.40167, 2040-2059, csiro_mk3_6_0, Annual Anomaly, DZA
0.77061, 2040-2059, gfdl_cm3, Annual Anomaly, DZA
0.22336, 2040-2059, gfdl_esm2g, Annual Anomaly, DZA
0.53657, 2040-2059, gfdl_esm2m, Annual Anomaly, DZA
0.38157, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, DZA
0.54705, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, DZA
0.23552, 2040-2059, miroc5, Annual Anomaly, DZA
0.45354, 2040-2059, miroc_esm_chem, Annual Anomaly, DZA
0.46268, 2040-2059, miroc_esm, Annual Anomaly, DZA
0.48159, 2040-2059, mpi_esm_mr, Annual Anomaly, DZA
0.47335, 2040-2059, mri_cgcm3, Annual Anomaly, DZA
0.47161, 2040-2059, noresm1_m, Annual Anomaly, DZA
0.41923, 2040-2059, bcc_csm1_1_m, Annual Anomaly, AND
0.13178, 2040-2059, bcc_csm1_1, Annual Anomaly, AND
0.25186, 2040-2059, bnu_esm, Annual Anomaly, AND
0.19709, 2040-2059, canesm2, Annual Anomaly, AND
0.03944, 2040-2059, ccsm4, Annual Anomaly, AND
0.16635, 2040-2059, cesm1_cam5, Annual Anomaly, AND
