Annual Severe Drought Likelihood - (Probability), Year, Model, Statistics, ISO3
0.43899, 2040-2059, bcc_csm1_1_m, Annual Anomaly, DZA
0.53317, 2040-2059, bcc_csm1_1, Annual Anomaly, DZA
0.4496, 2040-2059, ccsm4, Annual Anomaly, DZA
0.30056, 2040-2059, cesm1_cam5, Annual Anomaly, DZA
0.22668, 2040-2059, csiro_mk3_6_0, Annual Anomaly, DZA
0.69183, 2040-2059, gfdl_cm3, Annual Anomaly, DZA
0.39503, 2040-2059, gfdl_esm2g, Annual Anomaly, DZA
0.6034, 2040-2059, gfdl_esm2m, Annual Anomaly, DZA
0.57403, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, DZA
0.5167, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, DZA
0.41008, 2040-2059, miroc5, Annual Anomaly, DZA
0.51961, 2040-2059, miroc_esm_chem, Annual Anomaly, DZA
0.42342, 2040-2059, miroc_esm, Annual Anomaly, DZA
0.63703, 2040-2059, mri_cgcm3, Annual Anomaly, DZA
0.3887, 2040-2059, noresm1_m, Annual Anomaly, DZA
0.43166, 2040-2059, bcc_csm1_1_m, Annual Anomaly, AND
0.33841, 2040-2059, bcc_csm1_1, Annual Anomaly, AND
-0.0075, 2040-2059, ccsm4, Annual Anomaly, AND
0.14336, 2040-2059, cesm1_cam5, Annual Anomaly, AND
0.41729, 2040-2059, csiro_mk3_6_0, Annual Anomaly, AND
0.78262, 2040-2059, gfdl_cm3, Annual Anomaly, AND
0.16738, 2040-2059, gfdl_esm2g, Annual Anomaly, AND
0.29709, 2040-2059, gfdl_esm2m, Annual Anomaly, AND
0.01532, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, AND
0.02201, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, AND
0.00579, 2040-2059, miroc5, Annual Anomaly, AND
0.64524, 2040-2059, miroc_esm_chem, Annual Anomaly, AND
0.40572, 2040-2059, miroc_esm, Annual Anomaly, AND
0.13654, 2040-2059, mri_cgcm3, Annual Anomaly, AND
-0.0471, 2040-2059, noresm1_m, Annual Anomaly, AND
0.30742, 2040-2059, bcc_csm1_1_m, Annual Anomaly, AGO
0.1339, 2040-2059, bcc_csm1_1, Annual Anomaly, AGO
0.04746, 2040-2059, ccsm4, Annual Anomaly, AGO
-0.0011, 2040-2059, cesm1_cam5, Annual Anomaly, AGO
0.3429, 2040-2059, csiro_mk3_6_0, Annual Anomaly, AGO
0.39302, 2040-2059, gfdl_cm3, Annual Anomaly, AGO
0.19486, 2040-2059, gfdl_esm2g, Annual Anomaly, AGO
0.07717, 2040-2059, gfdl_esm2m, Annual Anomaly, AGO
0.17391, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, AGO
0.34053, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, AGO
0.0535, 2040-2059, miroc5, Annual Anomaly, AGO
0.09836, 2040-2059, miroc_esm_chem, Annual Anomaly, AGO
0.12745, 2040-2059, miroc_esm, Annual Anomaly, AGO
0.16009, 2040-2059, mri_cgcm3, Annual Anomaly, AGO
0.07136, 2040-2059, noresm1_m, Annual Anomaly, AGO
0.2299, 2040-2059, bcc_csm1_1_m, Annual Anomaly, ATG
0.32009, 2040-2059, bcc_csm1_1, Annual Anomaly, ATG
0.45, 2040-2059, ccsm4, Annual Anomaly, ATG
0.27009, 2040-2059, cesm1_cam5, Annual Anomaly, ATG
0.06029, 2040-2059, csiro_mk3_6_0, Annual Anomaly, ATG
0.05, 2040-2059, gfdl_esm2m, Annual Anomaly, ATG
0.4598, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, ATG
0.1299, 2040-2059, miroc5, Annual Anomaly, ATG
-0.0098, 2040-2059, miroc_esm_chem, Annual Anomaly, ATG
-0.0598, 2040-2059, miroc_esm, Annual Anomaly, ATG
0.31029, 2040-2059, mri_cgcm3, Annual Anomaly, ATG
0.19019, 2040-2059, noresm1_m, Annual Anomaly, ATG
0.23266, 2040-2059, bcc_csm1_1_m, Annual Anomaly, AUS
0.09785, 2040-2059, bcc_csm1_1, Annual Anomaly, AUS
0.15672, 2040-2059, ccsm4, Annual Anomaly, AUS
0.04903, 2040-2059, cesm1_cam5, Annual Anomaly, AUS
0.34513, 2040-2059, csiro_mk3_6_0, Annual Anomaly, AUS
0.25244, 2040-2059, gfdl_cm3, Annual Anomaly, AUS
