Annual Severe Drought Likelihood - (Probability), Year, Model, Statistics, ISO3
0.40112, 2080-2099, access1_3, Annual Anomaly, ALB
0.89097, 2080-2099, bcc_csm1_1_m, Annual Anomaly, ALB
0.89969, 2080-2099, bcc_csm1_1, Annual Anomaly, ALB
0.9, 2080-2099, bnu_esm, Annual Anomaly, ALB
0.82607, 2080-2099, canesm2, Annual Anomaly, ALB
0.95094, 2080-2099, ccsm4, Annual Anomaly, ALB
0.64618, 2080-2099, cesm1_bgc, Annual Anomaly, ALB
0.66824, 2080-2099, cesm1_cam5, Annual Anomaly, ALB
0.76336, 2080-2099, cmcc_cesm, Annual Anomaly, ALB
0.86681, 2080-2099, cmcc_cm, Annual Anomaly, ALB
0.71927, 2080-2099, cmcc_cms, Annual Anomaly, ALB
0.4004, 2080-2099, cnrm_cm5, Annual Anomaly, ALB
0.93638, 2080-2099, csiro_mk3_6_0, Annual Anomaly, ALB
0.91325, 2080-2099, gfdl_cm3, Annual Anomaly, ALB
0.88085, 2080-2099, gfdl_esm2g, Annual Anomaly, ALB
0.82701, 2080-2099, gfdl_esm2m, Annual Anomaly, ALB
0.88782, 2080-2099, inmcm4, Annual Anomaly, ALB
0.93364, 2080-2099, access1_3, Annual Anomaly, AND
0.86241, 2080-2099, bcc_csm1_1_m, Annual Anomaly, AND
0.99233, 2080-2099, bcc_csm1_1, Annual Anomaly, AND
0.95076, 2080-2099, bnu_esm, Annual Anomaly, AND
0.99131, 2080-2099, canesm2, Annual Anomaly, AND
0.63385, 2080-2099, ccsm4, Annual Anomaly, AND
0.91833, 2080-2099, cesm1_bgc, Annual Anomaly, AND
0.91936, 2080-2099, cesm1_cam5, Annual Anomaly, AND
0.55784, 2080-2099, cmcc_cesm, Annual Anomaly, AND
0.76074, 2080-2099, cmcc_cm, Annual Anomaly, AND
0.84421, 2080-2099, cmcc_cms, Annual Anomaly, AND
0.21924, 2080-2099, cnrm_cm5, Annual Anomaly, AND
0.81158, 2080-2099, csiro_mk3_6_0, Annual Anomaly, AND
0.88364, 2080-2099, gfdl_cm3, Annual Anomaly, AND
0.85766, 2080-2099, gfdl_esm2g, Annual Anomaly, AND
0.88364, 2080-2099, gfdl_esm2m, Annual Anomaly, AND
0.94233, 2080-2099, inmcm4, Annual Anomaly, AND
