Annual Severe Drought Likelihood - (Probability), Year, Model, Statistics, ISO3
0.47191, 2060-2079, access1_3, Annual Anomaly, AFG
0.61208, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AFG
0.69375, 2060-2079, bcc_csm1_1, Annual Anomaly, AFG
0.5408, 2060-2079, bnu_esm, Annual Anomaly, AFG
0.57132, 2060-2079, canesm2, Annual Anomaly, AFG
0.11129, 2060-2079, ccsm4, Annual Anomaly, AFG
0.46417, 2060-2079, cesm1_bgc, Annual Anomaly, AFG
0.27484, 2060-2079, cesm1_cam5, Annual Anomaly, AFG
0.37778, 2060-2079, cnrm_cm5, Annual Anomaly, AFG
0.79816, 2060-2079, csiro_mk3_6_0, Annual Anomaly, AFG
0.52223, 2060-2079, gfdl_cm3, Annual Anomaly, AFG
0.53573, 2060-2079, gfdl_esm2g, Annual Anomaly, AFG
0.23582, 2060-2079, gfdl_esm2m, Annual Anomaly, AFG
0.14495, 2060-2079, inmcm4, Annual Anomaly, AFG
0.87196, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, AFG
0.82589, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, AFG
0.49817, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, AFG
0.62908, 2060-2079, miroc5, Annual Anomaly, AFG
0.67198, 2060-2079, miroc_esm_chem, Annual Anomaly, AFG
0.6286, 2060-2079, miroc_esm, Annual Anomaly, AFG
0.28861, 2060-2079, mpi_esm_mr, Annual Anomaly, AFG
0.27915, 2060-2079, mri_cgcm3, Annual Anomaly, AFG
0.57537, 2060-2079, noresm1_m, Annual Anomaly, AFG
0.13941, 2060-2079, access1_3, Annual Anomaly, ALB
0.43202, 2060-2079, bcc_csm1_1_m, Annual Anomaly, ALB
0.18065, 2060-2079, bcc_csm1_1, Annual Anomaly, ALB
0.54508, 2060-2079, bnu_esm, Annual Anomaly, ALB
0.2368, 2060-2079, canesm2, Annual Anomaly, ALB
0.56559, 2060-2079, ccsm4, Annual Anomaly, ALB
0.31266, 2060-2079, cesm1_bgc, Annual Anomaly, ALB
0.18773, 2060-2079, cesm1_cam5, Annual Anomaly, ALB
0.14884, 2060-2079, cnrm_cm5, Annual Anomaly, ALB
0.75122, 2060-2079, csiro_mk3_6_0, Annual Anomaly, ALB
0.70769, 2060-2079, gfdl_cm3, Annual Anomaly, ALB
0.22874, 2060-2079, gfdl_esm2g, Annual Anomaly, ALB
0.45387, 2060-2079, gfdl_esm2m, Annual Anomaly, ALB
0.53919, 2060-2079, inmcm4, Annual Anomaly, ALB
0.29448, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, ALB
0.16617, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, ALB
0.1508, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, ALB
0.38231, 2060-2079, miroc5, Annual Anomaly, ALB
0.85823, 2060-2079, miroc_esm_chem, Annual Anomaly, ALB
0.9145, 2060-2079, miroc_esm, Annual Anomaly, ALB
-0.0477, 2060-2079, mpi_esm_mr, Annual Anomaly, ALB
0.18196, 2060-2079, mri_cgcm3, Annual Anomaly, ALB
0.55134, 2060-2079, noresm1_m, Annual Anomaly, ALB
0.8748, 2060-2079, access1_3, Annual Anomaly, DZA
0.71567, 2060-2079, bcc_csm1_1_m, Annual Anomaly, DZA
0.49346, 2060-2079, bcc_csm1_1, Annual Anomaly, DZA
0.644, 2060-2079, bnu_esm, Annual Anomaly, DZA
0.67518, 2060-2079, canesm2, Annual Anomaly, DZA
0.61636, 2060-2079, ccsm4, Annual Anomaly, DZA
0.59318, 2060-2079, cesm1_bgc, Annual Anomaly, DZA
0.52175, 2060-2079, cesm1_cam5, Annual Anomaly, DZA
0.25506, 2060-2079, cnrm_cm5, Annual Anomaly, DZA
0.63869, 2060-2079, csiro_mk3_6_0, Annual Anomaly, DZA
0.90485, 2060-2079, gfdl_cm3, Annual Anomaly, DZA
0.35169, 2060-2079, gfdl_esm2g, Annual Anomaly, DZA
0.56231, 2060-2079, gfdl_esm2m, Annual Anomaly, DZA
0.4953, 2060-2079, inmcm4, Annual Anomaly, DZA
0.81617, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, DZA
0.88752, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, DZA
0.49539, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, DZA
0.65999, 2060-2079, miroc5, Annual Anomaly, DZA
0.67276, 2060-2079, miroc_esm_chem, Annual Anomaly, DZA
0.65381, 2060-2079, miroc_esm, Annual Anomaly, DZA
0.87364, 2060-2079, mpi_esm_mr, Annual Anomaly, DZA
0.76279, 2060-2079, mri_cgcm3, Annual Anomaly, DZA
0.779, 2060-2079, noresm1_m, Annual Anomaly, DZA
0.39897, 2060-2079, access1_3, Annual Anomaly, AND
0.47109, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AND
0.27123, 2060-2079, bcc_csm1_1, Annual Anomaly, AND
0.48346, 2060-2079, bnu_esm, Annual Anomaly, AND
0.62316, 2060-2079, canesm2, Annual Anomaly, AND
0.02316, 2060-2079, ccsm4, Annual Anomaly, AND
0.87889, 2060-2079, cesm1_bgc, Annual Anomaly, AND
0.38655, 2060-2079, cesm1_cam5, Annual Anomaly, AND
0.00392, 2060-2079, cnrm_cm5, Annual Anomaly, AND
0.6, 2060-2079, csiro_mk3_6_0, Annual Anomaly, AND
0.88364, 2060-2079, gfdl_cm3, Annual Anomaly, AND
0.16357, 2060-2079, gfdl_esm2g, Annual Anomaly, AND
0.45867, 2060-2079, gfdl_esm2m, Annual Anomaly, AND
0.52605, 2060-2079, inmcm4, Annual Anomaly, AND
0.06635, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, AND
0.49306, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, AND
0.49235, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, AND
0.22896, 2060-2079, miroc5, Annual Anomaly, AND
0.83075, 2060-2079, miroc_esm_chem, Annual Anomaly, AND
0.83841, 2060-2079, miroc_esm, Annual Anomaly, AND
0.42027, 2060-2079, mpi_esm_mr, Annual Anomaly, AND
0.21626, 2060-2079, mri_cgcm3, Annual Anomaly, AND
0.42206, 2060-2079, noresm1_m, Annual Anomaly, AND
0.11722, 2060-2079, access1_3, Annual Anomaly, AGO
0.37612, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AGO
0.12148, 2060-2079, bcc_csm1_1, Annual Anomaly, AGO
0.06791, 2060-2079, bnu_esm, Annual Anomaly, AGO
0.52454, 2060-2079, canesm2, Annual Anomaly, AGO
0.06435, 2060-2079, ccsm4, Annual Anomaly, AGO
0.5014, 2060-2079, cesm1_bgc, Annual Anomaly, AGO
0.07188, 2060-2079, cesm1_cam5, Annual Anomaly, AGO
0.07764, 2060-2079, cnrm_cm5, Annual Anomaly, AGO
0.53594, 2060-2079, csiro_mk3_6_0, Annual Anomaly, AGO
0.43702, 2060-2079, gfdl_cm3, Annual Anomaly, AGO
0.11472, 2060-2079, gfdl_esm2g, Annual Anomaly, AGO
0.20479, 2060-2079, gfdl_esm2m, Annual Anomaly, AGO
0.13647, 2060-2079, inmcm4, Annual Anomaly, AGO
0.10915, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, AGO
0.32731, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, AGO
0.01842, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, AGO
0.17655, 2060-2079, miroc5, Annual Anomaly, AGO
0.12315, 2060-2079, miroc_esm_chem, Annual Anomaly, AGO
0.26022, 2060-2079, miroc_esm, Annual Anomaly, AGO
0.2478, 2060-2079, mpi_esm_mr, Annual Anomaly, AGO
0.10651, 2060-2079, mri_cgcm3, Annual Anomaly, AGO
0.12729, 2060-2079, noresm1_m, Annual Anomaly, AGO
0.31029, 2060-2079, bcc_csm1_1_m, Annual Anomaly, ATG
0.34019, 2060-2079, bcc_csm1_1, Annual Anomaly, ATG
0.3098, 2060-2079, bnu_esm, Annual Anomaly, ATG
0.68038, 2060-2079, ccsm4, Annual Anomaly, ATG
0.6299, 2060-2079, cesm1_bgc, Annual Anomaly, ATG
0.6598, 2060-2079, cesm1_cam5, Annual Anomaly, ATG
0.19019, 2060-2079, cnrm_cm5, Annual Anomaly, ATG
0.09019, 2060-2079, csiro_mk3_6_0, Annual Anomaly, ATG
0.05, 2060-2079, gfdl_cm3, Annual Anomaly, ATG
0.0598, 2060-2079, gfdl_esm2g, Annual Anomaly, ATG
0.16961, 2060-2079, inmcm4, Annual Anomaly, ATG
0.3897, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, ATG
0.2, 2060-2079, miroc5, Annual Anomaly, ATG
0.11029, 2060-2079, miroc_esm_chem, Annual Anomaly, ATG
-0.0299, 2060-2079, miroc_esm, Annual Anomaly, ATG
0.1598, 2060-2079, mpi_esm_mr, Annual Anomaly, ATG
0.2098, 2060-2079, mri_cgcm3, Annual Anomaly, ATG
0.22009, 2060-2079, noresm1_m, Annual Anomaly, ATG
0.18114, 2060-2079, access1_3, Annual Anomaly, ARG
0.25769, 2060-2079, bcc_csm1_1_m, Annual Anomaly, ARG
0.28927, 2060-2079, bcc_csm1_1, Annual Anomaly, ARG
0.15513, 2060-2079, bnu_esm, Annual Anomaly, ARG
0.32173, 2060-2079, canesm2, Annual Anomaly, ARG
0.10363, 2060-2079, ccsm4, Annual Anomaly, ARG
0.09356, 2060-2079, cesm1_bgc, Annual Anomaly, ARG
0.22367, 2060-2079, cesm1_cam5, Annual Anomaly, ARG
0.14803, 2060-2079, cnrm_cm5, Annual Anomaly, ARG
0.22301, 2060-2079, csiro_mk3_6_0, Annual Anomaly, ARG
0.44374, 2060-2079, gfdl_cm3, Annual Anomaly, ARG
0.31019, 2060-2079, gfdl_esm2g, Annual Anomaly, ARG
0.39093, 2060-2079, gfdl_esm2m, Annual Anomaly, ARG
0.05398, 2060-2079, inmcm4, Annual Anomaly, ARG
0.54296, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, ARG
0.42353, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, ARG
0.30351, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, ARG
0.2685, 2060-2079, miroc5, Annual Anomaly, ARG
0.26793, 2060-2079, miroc_esm_chem, Annual Anomaly, ARG
0.45255, 2060-2079, miroc_esm, Annual Anomaly, ARG
0.26466, 2060-2079, mpi_esm_mr, Annual Anomaly, ARG
0.14657, 2060-2079, mri_cgcm3, Annual Anomaly, ARG
0.29716, 2060-2079, noresm1_m, Annual Anomaly, ARG
0.04488, 2060-2079, access1_3, Annual Anomaly, ARM
0.51047, 2060-2079, bcc_csm1_1_m, Annual Anomaly, ARM
0.86528, 2060-2079, bcc_csm1_1, Annual Anomaly, ARM
0.29463, 2060-2079, bnu_esm, Annual Anomaly, ARM
0.48277, 2060-2079, canesm2, Annual Anomaly, ARM
0.29769, 2060-2079, ccsm4, Annual Anomaly, ARM
0.3989, 2060-2079, cesm1_bgc, Annual Anomaly, ARM
0.21966, 2060-2079, cesm1_cam5, Annual Anomaly, ARM
-0.0154, 2060-2079, cnrm_cm5, Annual Anomaly, ARM
0.74251, 2060-2079, csiro_mk3_6_0, Annual Anomaly, ARM
0.65122, 2060-2079, gfdl_cm3, Annual Anomaly, ARM
0.45217, 2060-2079, gfdl_esm2g, Annual Anomaly, ARM
0.10839, 2060-2079, gfdl_esm2m, Annual Anomaly, ARM
0.74236, 2060-2079, inmcm4, Annual Anomaly, ARM
0.78913, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, ARM
0.80366, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, ARM
0.31484, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, ARM
0.61571, 2060-2079, miroc5, Annual Anomaly, ARM
0.78233, 2060-2079, miroc_esm_chem, Annual Anomaly, ARM
0.59856, 2060-2079, miroc_esm, Annual Anomaly, ARM
0.27323, 2060-2079, mpi_esm_mr, Annual Anomaly, ARM
0.03403, 2060-2079, mri_cgcm3, Annual Anomaly, ARM
0.40617, 2060-2079, noresm1_m, Annual Anomaly, ARM
0.45883, 2060-2079, access1_3, Annual Anomaly, AUS
0.23324, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AUS
0.14257, 2060-2079, bcc_csm1_1, Annual Anomaly, AUS
0.08858, 2060-2079, bnu_esm, Annual Anomaly, AUS
0.1557, 2060-2079, canesm2, Annual Anomaly, AUS
0.18651, 2060-2079, ccsm4, Annual Anomaly, AUS
0.10771, 2060-2079, cesm1_bgc, Annual Anomaly, AUS
0.11673, 2060-2079, cesm1_cam5, Annual Anomaly, AUS
0.14956, 2060-2079, cnrm_cm5, Annual Anomaly, AUS
0.56795, 2060-2079, csiro_mk3_6_0, Annual Anomaly, AUS
0.55816, 2060-2079, gfdl_cm3, Annual Anomaly, AUS
0.29913, 2060-2079, gfdl_esm2g, Annual Anomaly, AUS
0.26466, 2060-2079, gfdl_esm2m, Annual Anomaly, AUS
0.05608, 2060-2079, inmcm4, Annual Anomaly, AUS
0.6086, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, AUS
0.54361, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, AUS
0.14515, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, AUS
0.09489, 2060-2079, miroc5, Annual Anomaly, AUS
0.38777, 2060-2079, miroc_esm_chem, Annual Anomaly, AUS
0.15912, 2060-2079, miroc_esm, Annual Anomaly, AUS
0.39068, 2060-2079, mpi_esm_mr, Annual Anomaly, AUS
0.27311, 2060-2079, mri_cgcm3, Annual Anomaly, AUS
0.16626, 2060-2079, noresm1_m, Annual Anomaly, AUS
0.0267, 2060-2079, access1_3, Annual Anomaly, AUT
0.07054, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AUT
-0.005, 2060-2079, bcc_csm1_1, Annual Anomaly, AUT
0.2015, 2060-2079, bnu_esm, Annual Anomaly, AUT
0.06942, 2060-2079, canesm2, Annual Anomaly, AUT
0.18842, 2060-2079, ccsm4, Annual Anomaly, AUT
0.69212, 2060-2079, cesm1_bgc, Annual Anomaly, AUT
0.15925, 2060-2079, cesm1_cam5, Annual Anomaly, AUT
-0.0332, 2060-2079, cnrm_cm5, Annual Anomaly, AUT
0.57819, 2060-2079, csiro_mk3_6_0, Annual Anomaly, AUT
0.48076, 2060-2079, gfdl_cm3, Annual Anomaly, AUT
-0.0026, 2060-2079, gfdl_esm2g, Annual Anomaly, AUT
0.08213, 2060-2079, gfdl_esm2m, Annual Anomaly, AUT
0.27764, 2060-2079, inmcm4, Annual Anomaly, AUT
0.04461, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, AUT
0.3831, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, AUT
0.1969, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, AUT
0.2422, 2060-2079, miroc5, Annual Anomaly, AUT
0.28172, 2060-2079, miroc_esm_chem, Annual Anomaly, AUT
0.11943, 2060-2079, miroc_esm, Annual Anomaly, AUT
0.11197, 2060-2079, mpi_esm_mr, Annual Anomaly, AUT
0.08654, 2060-2079, mri_cgcm3, Annual Anomaly, AUT
0.08293, 2060-2079, noresm1_m, Annual Anomaly, AUT
0.02352, 2060-2079, access1_3, Annual Anomaly, AZE
0.45582, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AZE
0.63202, 2060-2079, bcc_csm1_1, Annual Anomaly, AZE
0.32393, 2060-2079, bnu_esm, Annual Anomaly, AZE
0.57566, 2060-2079, canesm2, Annual Anomaly, AZE
0.2224, 2060-2079, ccsm4, Annual Anomaly, AZE
0.21401, 2060-2079, cesm1_bgc, Annual Anomaly, AZE
0.3209, 2060-2079, cesm1_cam5, Annual Anomaly, AZE
0.02763, 2060-2079, cnrm_cm5, Annual Anomaly, AZE
0.50812, 2060-2079, csiro_mk3_6_0, Annual Anomaly, AZE
0.65716, 2060-2079, gfdl_cm3, Annual Anomaly, AZE
0.43074, 2060-2079, gfdl_esm2g, Annual Anomaly, AZE
0.05707, 2060-2079, gfdl_esm2m, Annual Anomaly, AZE
0.8009, 2060-2079, inmcm4, Annual Anomaly, AZE
0.65582, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, AZE
0.85097, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, AZE
0.3968, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, AZE
0.4282, 2060-2079, miroc5, Annual Anomaly, AZE
0.51641, 2060-2079, miroc_esm_chem, Annual Anomaly, AZE
0.80949, 2060-2079, miroc_esm, Annual Anomaly, AZE
0.32665, 2060-2079, mpi_esm_mr, Annual Anomaly, AZE
0.15596, 2060-2079, mri_cgcm3, Annual Anomaly, AZE
0.33952, 2060-2079, noresm1_m, Annual Anomaly, AZE
0.01195, 2060-2079, access1_3, Annual Anomaly, BHS
0.09402, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BHS
0.14103, 2060-2079, bcc_csm1_1, Annual Anomaly, BHS
0.10597, 2060-2079, bnu_esm, Annual Anomaly, BHS
-0.047, 2060-2079, canesm2, Annual Anomaly, BHS
-0.044, 2060-2079, ccsm4, Annual Anomaly, BHS
0.05896, 2060-2079, cesm1_bgc, Annual Anomaly, BHS
0.19402, 2060-2079, cesm1_cam5, Annual Anomaly, BHS
0.14402, 2060-2079, cnrm_cm5, Annual Anomaly, BHS
0.00298, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BHS
0.05298, 2060-2079, gfdl_cm3, Annual Anomaly, BHS
0.26494, 2060-2079, gfdl_esm2g, Annual Anomaly, BHS
-0.091, 2060-2079, gfdl_esm2m, Annual Anomaly, BHS
0.06195, 2060-2079, inmcm4, Annual Anomaly, BHS
0.28804, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BHS
0.16792, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BHS
0.04701, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, BHS
0.10298, 2060-2079, miroc5, Annual Anomaly, BHS
0.05896, 2060-2079, miroc_esm_chem, Annual Anomaly, BHS
-0.05, 2060-2079, miroc_esm, Annual Anomaly, BHS
0.01494, 2060-2079, mri_cgcm3, Annual Anomaly, BHS
0.43506, 2060-2079, noresm1_m, Annual Anomaly, BHS
-0.0192, 2060-2079, access1_3, Annual Anomaly, BGD
0.07306, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BGD
0.00353, 2060-2079, bcc_csm1_1, Annual Anomaly, BGD
0.14856, 2060-2079, bnu_esm, Annual Anomaly, BGD
-0.0293, 2060-2079, canesm2, Annual Anomaly, BGD
0.41133, 2060-2079, ccsm4, Annual Anomaly, BGD
0.09557, 2060-2079, cesm1_bgc, Annual Anomaly, BGD
0.20375, 2060-2079, cesm1_cam5, Annual Anomaly, BGD
-0.0319, 2060-2079, cnrm_cm5, Annual Anomaly, BGD
0.05663, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BGD
-0.0178, 2060-2079, gfdl_cm3, Annual Anomaly, BGD
0.41085, 2060-2079, gfdl_esm2g, Annual Anomaly, BGD
0.03222, 2060-2079, gfdl_esm2m, Annual Anomaly, BGD
0.02189, 2060-2079, inmcm4, Annual Anomaly, BGD
0.15315, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BGD
0.09673, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BGD
-0.007, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, BGD
0.03457, 2060-2079, miroc5, Annual Anomaly, BGD
0.03141, 2060-2079, miroc_esm_chem, Annual Anomaly, BGD
0.05435, 2060-2079, miroc_esm, Annual Anomaly, BGD
0.40162, 2060-2079, mpi_esm_mr, Annual Anomaly, BGD
-0.0045, 2060-2079, mri_cgcm3, Annual Anomaly, BGD
0.05136, 2060-2079, noresm1_m, Annual Anomaly, BGD
0.65, 2060-2079, access1_3, Annual Anomaly, BRB
0.17738, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BRB
0.24087, 2060-2079, bcc_csm1_1, Annual Anomaly, BRB
0.44087, 2060-2079, bnu_esm, Annual Anomaly, BRB
0.52261, 2060-2079, canesm2, Annual Anomaly, BRB
0.14087, 2060-2079, ccsm4, Annual Anomaly, BRB
0.6, 2060-2079, cesm1_bgc, Annual Anomaly, BRB
0.35, 2060-2079, cesm1_cam5, Annual Anomaly, BRB
0.09087, 2060-2079, cnrm_cm5, Annual Anomaly, BRB
-0.05, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BRB
0.12261, 2060-2079, gfdl_cm3, Annual Anomaly, BRB
-0.0091, 2060-2079, gfdl_esm2g, Annual Anomaly, BRB
-0.1, 2060-2079, gfdl_esm2m, Annual Anomaly, BRB
0.75, 2060-2079, inmcm4, Annual Anomaly, BRB
0.35, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BRB
0.43174, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BRB
0.01825, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, BRB
0.52261, 2060-2079, miroc5, Annual Anomaly, BRB
0.14087, 2060-2079, miroc_esm_chem, Annual Anomaly, BRB
-0.05, 2060-2079, miroc_esm, Annual Anomaly, BRB
0.55912, 2060-2079, mpi_esm_mr, Annual Anomaly, BRB
0.25912, 2060-2079, noresm1_m, Annual Anomaly, BRB
0.17142, 2060-2079, access1_3, Annual Anomaly, BLR
0.08655, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BLR
0.0022, 2060-2079, bcc_csm1_1, Annual Anomaly, BLR
0.27095, 2060-2079, bnu_esm, Annual Anomaly, BLR
0.03917, 2060-2079, canesm2, Annual Anomaly, BLR
0.26847, 2060-2079, ccsm4, Annual Anomaly, BLR
0.32413, 2060-2079, cesm1_bgc, Annual Anomaly, BLR
0.57912, 2060-2079, cesm1_cam5, Annual Anomaly, BLR
0.31263, 2060-2079, cnrm_cm5, Annual Anomaly, BLR
0.13232, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BLR
0.12496, 2060-2079, gfdl_cm3, Annual Anomaly, BLR
-4.0E-4, 2060-2079, gfdl_esm2g, Annual Anomaly, BLR
0.16814, 2060-2079, gfdl_esm2m, Annual Anomaly, BLR
-0.0403, 2060-2079, inmcm4, Annual Anomaly, BLR
0.06058, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BLR
0.20331, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BLR
-0.0272, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, BLR
0.39152, 2060-2079, miroc5, Annual Anomaly, BLR
0.03231, 2060-2079, miroc_esm_chem, Annual Anomaly, BLR
-0.0372, 2060-2079, miroc_esm, Annual Anomaly, BLR
0.03588, 2060-2079, mpi_esm_mr, Annual Anomaly, BLR
-0.023, 2060-2079, mri_cgcm3, Annual Anomaly, BLR
0.2242, 2060-2079, noresm1_m, Annual Anomaly, BLR
0.27419, 2060-2079, access1_3, Annual Anomaly, BEL
0.11586, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BEL
