Annual Severe Drought Likelihood - (Probability), Year, Model, Statistics, ISO3
0.3088, 2020-2039, bcc_csm1_1_m, Annual Anomaly, AFG
0.25026, 2020-2039, bcc_csm1_1, Annual Anomaly, AFG
0.21093, 2020-2039, bnu_esm, Annual Anomaly, AFG
0.16546, 2020-2039, canesm2, Annual Anomaly, AFG
0.05442, 2020-2039, ccsm4, Annual Anomaly, AFG
0.11013, 2020-2039, cesm1_cam5, Annual Anomaly, AFG
0.2209, 2020-2039, cnrm_cm5, Annual Anomaly, AFG
0.35995, 2020-2039, csiro_mk3_6_0, Annual Anomaly, AFG
0.20362, 2020-2039, gfdl_cm3, Annual Anomaly, AFG
0.21368, 2020-2039, gfdl_esm2g, Annual Anomaly, AFG
0.17549, 2020-2039, gfdl_esm2m, Annual Anomaly, AFG
0.55647, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, AFG
0.38913, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, AFG
0.13215, 2020-2039, miroc5, Annual Anomaly, AFG
0.33425, 2020-2039, miroc_esm_chem, Annual Anomaly, AFG
0.34598, 2020-2039, miroc_esm, Annual Anomaly, AFG
0.13256, 2020-2039, mpi_esm_mr, Annual Anomaly, AFG
0.10655, 2020-2039, mri_cgcm3, Annual Anomaly, AFG
0.16641, 2020-2039, noresm1_m, Annual Anomaly, AFG
0.23709, 2020-2039, bcc_csm1_1_m, Annual Anomaly, ALB
0.1371, 2020-2039, bcc_csm1_1, Annual Anomaly, ALB
0.34966, 2020-2039, bnu_esm, Annual Anomaly, ALB
0.15657, 2020-2039, canesm2, Annual Anomaly, ALB
0.26188, 2020-2039, ccsm4, Annual Anomaly, ALB
0.15243, 2020-2039, cesm1_cam5, Annual Anomaly, ALB
0.1413, 2020-2039, cnrm_cm5, Annual Anomaly, ALB
0.22442, 2020-2039, csiro_mk3_6_0, Annual Anomaly, ALB
0.18991, 2020-2039, gfdl_cm3, Annual Anomaly, ALB
-0.05, 2020-2039, gfdl_esm2g, Annual Anomaly, ALB
0.29742, 2020-2039, gfdl_esm2m, Annual Anomaly, ALB
0.10062, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, ALB
0.02805, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, ALB
0.17298, 2020-2039, miroc5, Annual Anomaly, ALB
0.43666, 2020-2039, miroc_esm_chem, Annual Anomaly, ALB
0.42761, 2020-2039, miroc_esm, Annual Anomaly, ALB
-0.0047, 2020-2039, mpi_esm_mr, Annual Anomaly, ALB
0.24802, 2020-2039, mri_cgcm3, Annual Anomaly, ALB
0.14337, 2020-2039, noresm1_m, Annual Anomaly, ALB
0.31073, 2020-2039, bcc_csm1_1_m, Annual Anomaly, DZA
0.29097, 2020-2039, bcc_csm1_1, Annual Anomaly, DZA
0.42196, 2020-2039, bnu_esm, Annual Anomaly, DZA
0.2372, 2020-2039, canesm2, Annual Anomaly, DZA
0.36928, 2020-2039, ccsm4, Annual Anomaly, DZA
0.23405, 2020-2039, cesm1_cam5, Annual Anomaly, DZA
