Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-0.7795, 2040-2059, access1_3, Annual Anomaly, AFG
-1.6623, 2040-2059, bcc_csm1_1_m, Annual Anomaly, AFG
-1.7498, 2040-2059, bcc_csm1_1, Annual Anomaly, AFG
-1.1052, 2040-2059, bnu_esm, Annual Anomaly, AFG
-0.786, 2040-2059, canesm2, Annual Anomaly, AFG
-0.3019, 2040-2059, ccsm4, Annual Anomaly, AFG
-1.1851, 2040-2059, cesm1_bgc, Annual Anomaly, AFG
-0.1478, 2040-2059, cesm1_cam5, Annual Anomaly, AFG
-1.5279, 2040-2059, cmcc_cesm, Annual Anomaly, AFG
-1.8422, 2040-2059, cmcc_cm, Annual Anomaly, AFG
-1.5956, 2040-2059, cmcc_cms, Annual Anomaly, AFG
-1.2, 2040-2059, cnrm_cm5, Annual Anomaly, AFG
-1.4371, 2040-2059, csiro_mk3_6_0, Annual Anomaly, AFG
-1.1767, 2040-2059, gfdl_cm3, Annual Anomaly, AFG
-1.523, 2040-2059, gfdl_esm2g, Annual Anomaly, AFG
-0.7135, 2040-2059, gfdl_esm2m, Annual Anomaly, AFG
-0.5326, 2040-2059, inmcm4, Annual Anomaly, AFG
-1.94, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, AFG
-2.4323, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, AFG
-0.9448, 2040-2059, ipsl_cm5b_lr, Annual Anomaly, AFG
-0.8678, 2040-2059, miroc5, Annual Anomaly, AFG
-1.818, 2040-2059, miroc_esm_chem, Annual Anomaly, AFG
-1.0163, 2040-2059, miroc_esm, Annual Anomaly, AFG
-0.797, 2040-2059, mpi_esm_mr, Annual Anomaly, AFG
-0.4513, 2040-2059, mri_cgcm3, Annual Anomaly, AFG
-0.3653, 2040-2059, mri_esm1, Annual Anomaly, AFG
-1.2404, 2040-2059, noresm1_m, Annual Anomaly, AFG
-2.4426, 2040-2059, access1_3, Annual Anomaly, DZA
-2.1495, 2040-2059, bcc_csm1_1_m, Annual Anomaly, DZA
-1.5098, 2040-2059, bcc_csm1_1, Annual Anomaly, DZA
-1.3017, 2040-2059, bnu_esm, Annual Anomaly, DZA
-1.4157, 2040-2059, canesm2, Annual Anomaly, DZA
-1.3033, 2040-2059, ccsm4, Annual Anomaly, DZA
-1.3921, 2040-2059, cesm1_bgc, Annual Anomaly, DZA
-0.9881, 2040-2059, cesm1_cam5, Annual Anomaly, DZA
-2.1292, 2040-2059, cmcc_cesm, Annual Anomaly, DZA
-2.1861, 2040-2059, cmcc_cm, Annual Anomaly, DZA
-2.0739, 2040-2059, cmcc_cms, Annual Anomaly, DZA
-0.7919, 2040-2059, cnrm_cm5, Annual Anomaly, DZA
-1.6214, 2040-2059, csiro_mk3_6_0, Annual Anomaly, DZA
-2.427, 2040-2059, gfdl_cm3, Annual Anomaly, DZA
-0.8391, 2040-2059, gfdl_esm2g, Annual Anomaly, DZA
-0.9152, 2040-2059, gfdl_esm2m, Annual Anomaly, DZA
-1.2304, 2040-2059, inmcm4, Annual Anomaly, DZA
-2.204, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, DZA
-2.1931, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, DZA
-0.8835, 2040-2059, ipsl_cm5b_lr, Annual Anomaly, DZA
-1.2427, 2040-2059, miroc5, Annual Anomaly, DZA
-1.4316, 2040-2059, miroc_esm_chem, Annual Anomaly, DZA
-1.6144, 2040-2059, miroc_esm, Annual Anomaly, DZA
-2.0419, 2040-2059, mpi_esm_mr, Annual Anomaly, DZA
-1.6988, 2040-2059, mri_cgcm3, Annual Anomaly, DZA
-1.6461, 2040-2059, mri_esm1, Annual Anomaly, DZA
-1.6372, 2040-2059, noresm1_m, Annual Anomaly, DZA
0.15158, 2040-2059, access1_3, Annual Anomaly, AGO
-0.9169, 2040-2059, bcc_csm1_1_m, Annual Anomaly, AGO
-0.6051, 2040-2059, bcc_csm1_1, Annual Anomaly, AGO
-0.036, 2040-2059, bnu_esm, Annual Anomaly, AGO
-0.9758, 2040-2059, canesm2, Annual Anomaly, AGO
-0.1858, 2040-2059, ccsm4, Annual Anomaly, AGO
-0.4212, 2040-2059, cesm1_bgc, Annual Anomaly, AGO
-0.1399, 2040-2059, cesm1_cam5, Annual Anomaly, AGO
-0.7647, 2040-2059, cmcc_cesm, Annual Anomaly, AGO
-1.0617, 2040-2059, cmcc_cm, Annual Anomaly, AGO
-0.9086, 2040-2059, cmcc_cms, Annual Anomaly, AGO
-0.0653, 2040-2059, cnrm_cm5, Annual Anomaly, AGO
-1.4324, 2040-2059, csiro_mk3_6_0, Annual Anomaly, AGO
-1.1799, 2040-2059, gfdl_cm3, Annual Anomaly, AGO
-0.4927, 2040-2059, gfdl_esm2g, Annual Anomaly, AGO
-0.2926, 2040-2059, gfdl_esm2m, Annual Anomaly, AGO
0.17664, 2040-2059, inmcm4, Annual Anomaly, AGO
0.34031, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, AGO
-0.5795, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, AGO
0.5687, 2040-2059, ipsl_cm5b_lr, Annual Anomaly, AGO
-0.0395, 2040-2059, miroc5, Annual Anomaly, AGO
-0.78, 2040-2059, miroc_esm_chem, Annual Anomaly, AGO
-0.9374, 2040-2059, miroc_esm, Annual Anomaly, AGO
-0.5448, 2040-2059, mpi_esm_mr, Annual Anomaly, AGO
-0.6277, 2040-2059, mri_cgcm3, Annual Anomaly, AGO
-0.4637, 2040-2059, mri_esm1, Annual Anomaly, AGO
-0.5054, 2040-2059, noresm1_m, Annual Anomaly, AGO
-0.4323, 2040-2059, access1_3, Annual Anomaly, ARM
-1.2193, 2040-2059, bcc_csm1_1_m, Annual Anomaly, ARM
-2.0777, 2040-2059, bcc_csm1_1, Annual Anomaly, ARM
-1.0747, 2040-2059, bnu_esm, Annual Anomaly, ARM
-1.2406, 2040-2059, canesm2, Annual Anomaly, ARM
-0.356, 2040-2059, ccsm4, Annual Anomaly, ARM
-1.3895, 2040-2059, cesm1_bgc, Annual Anomaly, ARM
-0.4472, 2040-2059, cesm1_cam5, Annual Anomaly, ARM
-1.4203, 2040-2059, cmcc_cesm, Annual Anomaly, ARM
-1.3255, 2040-2059, cmcc_cm, Annual Anomaly, ARM
-1.0091, 2040-2059, cmcc_cms, Annual Anomaly, ARM
-0.2653, 2040-2059, cnrm_cm5, Annual Anomaly, ARM
-1.7148, 2040-2059, csiro_mk3_6_0, Annual Anomaly, ARM
-0.9921, 2040-2059, gfdl_cm3, Annual Anomaly, ARM
-1.0174, 2040-2059, gfdl_esm2g, Annual Anomaly, ARM
-0.6231, 2040-2059, gfdl_esm2m, Annual Anomaly, ARM
-1.3776, 2040-2059, inmcm4, Annual Anomaly, ARM
-1.1058, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, ARM
-1.9367, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, ARM
-0.8515, 2040-2059, ipsl_cm5b_lr, Annual Anomaly, ARM
-0.9301, 2040-2059, miroc5, Annual Anomaly, ARM
-1.78, 2040-2059, miroc_esm_chem, Annual Anomaly, ARM
-0.3202, 2040-2059, miroc_esm, Annual Anomaly, ARM
-1.1106, 2040-2059, mpi_esm_mr, Annual Anomaly, ARM
-0.578, 2040-2059, mri_cgcm3, Annual Anomaly, ARM
0.19847, 2040-2059, mri_esm1, Annual Anomaly, ARM
-1.1225, 2040-2059, noresm1_m, Annual Anomaly, ARM
-1.5475, 2040-2059, access1_3, Annual Anomaly, BRB
-0.877, 2040-2059, bcc_csm1_1_m, Annual Anomaly, BRB
-1.2808, 2040-2059, bcc_csm1_1, Annual Anomaly, BRB
-1.6452, 2040-2059, bnu_esm, Annual Anomaly, BRB
-2.1649, 2040-2059, canesm2, Annual Anomaly, BRB
-1.413, 2040-2059, ccsm4, Annual Anomaly, BRB
-1.4702, 2040-2059, cesm1_bgc, Annual Anomaly, BRB
-1.1618, 2040-2059, cesm1_cam5, Annual Anomaly, BRB
-0.8223, 2040-2059, cmcc_cesm, Annual Anomaly, BRB
-0.5291, 2040-2059, cmcc_cm, Annual Anomaly, BRB
-1.1521, 2040-2059, cmcc_cms, Annual Anomaly, BRB
-0.3974, 2040-2059, cnrm_cm5, Annual Anomaly, BRB
0.16362, 2040-2059, csiro_mk3_6_0, Annual Anomaly, BRB
0.1412, 2040-2059, gfdl_cm3, Annual Anomaly, BRB
-0.1579, 2040-2059, gfdl_esm2g, Annual Anomaly, BRB
0.0881, 2040-2059, gfdl_esm2m, Annual Anomaly, BRB
-1.8484, 2040-2059, inmcm4, Annual Anomaly, BRB
-0.8269, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, BRB
-1.5137, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, BRB
-0.1121, 2040-2059, ipsl_cm5b_lr, Annual Anomaly, BRB
-0.6484, 2040-2059, miroc5, Annual Anomaly, BRB
0.04126, 2040-2059, miroc_esm_chem, Annual Anomaly, BRB
0.23107, 2040-2059, miroc_esm, Annual Anomaly, BRB
-1.7322, 2040-2059, mpi_esm_mr, Annual Anomaly, BRB
