Annual Severe Drought Likelihood - (Probability), Year, Model, Statistics, ISO3
0.22642, 2020-2039, bcc_csm1_1_m, Annual Anomaly, ALB
-0.0098, 2020-2039, bcc_csm1_1, Annual Anomaly, ALB
0.19538, 2020-2039, ccsm4, Annual Anomaly, ALB
0.02489, 2020-2039, cesm1_cam5, Annual Anomaly, ALB
0.24646, 2020-2039, csiro_mk3_6_0, Annual Anomaly, ALB
0.20787, 2020-2039, gfdl_cm3, Annual Anomaly, ALB
0.08751, 2020-2039, gfdl_esm2g, Annual Anomaly, ALB
0.08889, 2020-2039, gfdl_esm2m, Annual Anomaly, ALB
0.01764, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, ALB
0.07806, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, ALB
0.03346, 2020-2039, miroc5, Annual Anomaly, ALB
0.24066, 2020-2039, miroc_esm_chem, Annual Anomaly, ALB
0.32578, 2020-2039, miroc_esm, Annual Anomaly, ALB
0.36538, 2020-2039, mri_cgcm3, Annual Anomaly, ALB
0.32881, 2020-2039, noresm1_m, Annual Anomaly, ALB
0.32281, 2020-2039, bcc_csm1_1_m, Annual Anomaly, DZA
0.18727, 2020-2039, bcc_csm1_1, Annual Anomaly, DZA
0.23032, 2020-2039, ccsm4, Annual Anomaly, DZA
0.10365, 2020-2039, cesm1_cam5, Annual Anomaly, DZA
0.14245, 2020-2039, csiro_mk3_6_0, Annual Anomaly, DZA
0.60416, 2020-2039, gfdl_cm3, Annual Anomaly, DZA
0.27118, 2020-2039, gfdl_esm2g, Annual Anomaly, DZA
0.42123, 2020-2039, gfdl_esm2m, Annual Anomaly, DZA
0.2967, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, DZA
0.30336, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, DZA
0.39912, 2020-2039, miroc5, Annual Anomaly, DZA
0.30935, 2020-2039, miroc_esm_chem, Annual Anomaly, DZA
0.40701, 2020-2039, miroc_esm, Annual Anomaly, DZA
0.34597, 2020-2039, mri_cgcm3, Annual Anomaly, DZA
0.39345, 2020-2039, noresm1_m, Annual Anomaly, DZA
0.13558, 2020-2039, bcc_csm1_1_m, Annual Anomaly, AND
0.26151, 2020-2039, bcc_csm1_1, Annual Anomaly, AND
-0.0028, 2020-2039, ccsm4, Annual Anomaly, AND
0.0471, 2020-2039, cesm1_cam5, Annual Anomaly, AND
0.2231, 2020-2039, csiro_mk3_6_0, Annual Anomaly, AND
0.56718, 2020-2039, gfdl_cm3, Annual Anomaly, AND
0.18848, 2020-2039, gfdl_esm2g, Annual Anomaly, AND
0.23363, 2020-2039, gfdl_esm2m, Annual Anomaly, AND
0.16055, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, AND
0.10766, 2020-2039, miroc5, Annual Anomaly, AND
0.2471, 2020-2039, miroc_esm_chem, Annual Anomaly, AND
0.06814, 2020-2039, miroc_esm, Annual Anomaly, AND
0.00482, 2020-2039, mri_cgcm3, Annual Anomaly, AND
0.08262, 2020-2039, noresm1_m, Annual Anomaly, AND
0.1299, 2020-2039, bcc_csm1_1_m, Annual Anomaly, ATG
0.16029, 2020-2039, bcc_csm1_1, Annual Anomaly, ATG
0.38038, 2020-2039, ccsm4, Annual Anomaly, ATG
0.4, 2020-2039, cesm1_cam5, Annual Anomaly, ATG
0.0299, 2020-2039, csiro_mk3_6_0, Annual Anomaly, ATG
0.05, 2020-2039, gfdl_cm3, Annual Anomaly, ATG
0.07009, 2020-2039, gfdl_esm2g, Annual Anomaly, ATG
0.02009, 2020-2039, gfdl_esm2m, Annual Anomaly, ATG
0.02009, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, ATG
0.2598, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, ATG
0.0299, 2020-2039, miroc5, Annual Anomaly, ATG
0.12009, 2020-2039, miroc_esm_chem, Annual Anomaly, ATG
-0.0598, 2020-2039, miroc_esm, Annual Anomaly, ATG
0.37009, 2020-2039, mri_cgcm3, Annual Anomaly, ATG
-0.0299, 2020-2039, noresm1_m, Annual Anomaly, ATG
0.23382, 2020-2039, bcc_csm1_1_m, Annual Anomaly, ARM
0.6915, 2020-2039, bcc_csm1_1, Annual Anomaly, ARM
0.11573, 2020-2039, ccsm4, Annual Anomaly, ARM
-0.0191, 2020-2039, cesm1_cam5, Annual Anomaly, ARM
0.35667, 2020-2039, csiro_mk3_6_0, Annual Anomaly, ARM
0.20527, 2020-2039, gfdl_cm3, Annual Anomaly, ARM
0.30764, 2020-2039, gfdl_esm2g, Annual Anomaly, ARM
0.13835, 2020-2039, gfdl_esm2m, Annual Anomaly, ARM
0.31762, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, ARM
0.56874, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, ARM
0.03379, 2020-2039, miroc5, Annual Anomaly, ARM
0.67863, 2020-2039, miroc_esm_chem, Annual Anomaly, ARM
0.03119, 2020-2039, miroc_esm, Annual Anomaly, ARM
-0.0041, 2020-2039, mri_cgcm3, Annual Anomaly, ARM
8.0E-5, 2020-2039, noresm1_m, Annual Anomaly, ARM
0.00597, 2020-2039, bcc_csm1_1_m, Annual Anomaly, BHS
0.14103, 2020-2039, bcc_csm1_1, Annual Anomaly, BHS
-0.032, 2020-2039, ccsm4, Annual Anomaly, BHS
0.04402, 2020-2039, cesm1_cam5, Annual Anomaly, BHS
0.04701, 2020-2039, csiro_mk3_6_0, Annual Anomaly, BHS
0.29103, 2020-2039, gfdl_cm3, Annual Anomaly, BHS
0.29103, 2020-2039, gfdl_esm2g, Annual Anomaly, BHS
-0.094, 2020-2039, gfdl_esm2m, Annual Anomaly, BHS
0.18804, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, BHS
0.1739, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, BHS
0.19103, 2020-2039, miroc5, Annual Anomaly, BHS
0.00896, 2020-2039, miroc_esm_chem, Annual Anomaly, BHS
-0.05, 2020-2039, miroc_esm, Annual Anomaly, BHS
0.09701, 2020-2039, mri_cgcm3, Annual Anomaly, BHS
0.27908, 2020-2039, noresm1_m, Annual Anomaly, BHS
0.6579, 2020-2039, bcc_csm1_1_m, Annual Anomaly, BHR
0.35, 2020-2039, bcc_csm1_1, Annual Anomaly, BHR
0.28163, 2020-2039, ccsm4, Annual Anomaly, BHR
0.1579, 2020-2039, cesm1_cam5, Annual Anomaly, BHR
0.39209, 2020-2039, csiro_mk3_6_0, Annual Anomaly, BHR
0.1, 2020-2039, gfdl_cm3, Annual Anomaly, BHR
0.45, 2020-2039, gfdl_esm2g, Annual Anomaly, BHR
0.14209, 2020-2039, gfdl_esm2m, Annual Anomaly, BHR
0.6079, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, BHR
0.3579, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, BHR
0.2, 2020-2039, miroc5, Annual Anomaly, BHR
0.05, 2020-2039, miroc_esm_chem, Annual Anomaly, BHR
0.26581, 2020-2039, miroc_esm, Annual Anomaly, BHR
0.04209, 2020-2039, mri_cgcm3, Annual Anomaly, BHR
0.05136, 2020-2039, bcc_csm1_1_m, Annual Anomaly, BGD
0.00297, 2020-2039, bcc_csm1_1, Annual Anomaly, BGD
