Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-0.9273, 2040-2059, bcc_csm1_1_m, Annual Anomaly, AFG
-0.6827, 2040-2059, bcc_csm1_1, Annual Anomaly, AFG
-0.5271, 2040-2059, bnu_esm, Annual Anomaly, AFG
-0.1804, 2040-2059, canesm2, Annual Anomaly, AFG
-0.1673, 2040-2059, ccsm4, Annual Anomaly, AFG
-0.1516, 2040-2059, cesm1_cam5, Annual Anomaly, AFG
-0.737, 2040-2059, cnrm_cm5, Annual Anomaly, AFG
-1.7472, 2040-2059, csiro_mk3_6_0, Annual Anomaly, AFG
-1.0247, 2040-2059, gfdl_cm3, Annual Anomaly, AFG
-0.7205, 2040-2059, gfdl_esm2g, Annual Anomaly, AFG
-0.045, 2040-2059, gfdl_esm2m, Annual Anomaly, AFG
-1.4551, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, AFG
-0.6429, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, AFG
-0.9991, 2040-2059, miroc5, Annual Anomaly, AFG
-0.6453, 2040-2059, miroc_esm_chem, Annual Anomaly, AFG
-1.4233, 2040-2059, miroc_esm, Annual Anomaly, AFG
-0.5681, 2040-2059, mpi_esm_mr, Annual Anomaly, AFG
0.25755, 2040-2059, mri_cgcm3, Annual Anomaly, AFG
-0.5209, 2040-2059, noresm1_m, Annual Anomaly, AFG
-0.9924, 2040-2059, bcc_csm1_1_m, Annual Anomaly, ALB
-0.2364, 2040-2059, bcc_csm1_1, Annual Anomaly, ALB
-1.094, 2040-2059, bnu_esm, Annual Anomaly, ALB
-0.9805, 2040-2059, canesm2, Annual Anomaly, ALB
-0.6607, 2040-2059, ccsm4, Annual Anomaly, ALB
-0.0643, 2040-2059, cesm1_cam5, Annual Anomaly, ALB
0.13144, 2040-2059, cnrm_cm5, Annual Anomaly, ALB
-1.2646, 2040-2059, csiro_mk3_6_0, Annual Anomaly, ALB
-0.9899, 2040-2059, gfdl_cm3, Annual Anomaly, ALB
-0.1677, 2040-2059, gfdl_esm2g, Annual Anomaly, ALB
0.16105, 2040-2059, gfdl_esm2m, Annual Anomaly, ALB
-0.8268, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, ALB
-0.5606, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, ALB
-0.192, 2040-2059, miroc5, Annual Anomaly, ALB
-1.8997, 2040-2059, miroc_esm_chem, Annual Anomaly, ALB
-1.4243, 2040-2059, miroc_esm, Annual Anomaly, ALB
-0.2924, 2040-2059, mpi_esm_mr, Annual Anomaly, ALB
0.20868, 2040-2059, mri_cgcm3, Annual Anomaly, ALB
-0.5911, 2040-2059, noresm1_m, Annual Anomaly, ALB
0.15951, 2040-2059, bcc_csm1_1_m, Annual Anomaly, ATG
-0.8512, 2040-2059, bcc_csm1_1, Annual Anomaly, ATG
-0.1113, 2040-2059, bnu_esm, Annual Anomaly, ATG
-0.5999, 2040-2059, canesm2, Annual Anomaly, ATG
-0.8569, 2040-2059, ccsm4, Annual Anomaly, ATG
-0.4208, 2040-2059, cesm1_cam5, Annual Anomaly, ATG
-0.2118, 2040-2059, cnrm_cm5, Annual Anomaly, ATG
-0.0061, 2040-2059, csiro_mk3_6_0, Annual Anomaly, ATG
0.96712, 2040-2059, gfdl_cm3, Annual Anomaly, ATG
-0.1399, 2040-2059, gfdl_esm2g, Annual Anomaly, ATG
0.21914, 2040-2059, gfdl_esm2m, Annual Anomaly, ATG
-0.0559, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, ATG
-0.468, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, ATG
-0.7864, 2040-2059, miroc5, Annual Anomaly, ATG
0.06924, 2040-2059, miroc_esm_chem, Annual Anomaly, ATG
0.9376, 2040-2059, miroc_esm, Annual Anomaly, ATG
-0.4928, 2040-2059, mpi_esm_mr, Annual Anomaly, ATG
-0.3284, 2040-2059, mri_cgcm3, Annual Anomaly, ATG
0.25548, 2040-2059, noresm1_m, Annual Anomaly, ATG
-0.4357, 2040-2059, bcc_csm1_1_m, Annual Anomaly, ARG
-0.0959, 2040-2059, bcc_csm1_1, Annual Anomaly, ARG
-0.2738, 2040-2059, bnu_esm, Annual Anomaly, ARG
-0.5603, 2040-2059, canesm2, Annual Anomaly, ARG
-0.2298, 2040-2059, ccsm4, Annual Anomaly, ARG
-0.2679, 2040-2059, cesm1_cam5, Annual Anomaly, ARG
