Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
0.16981, 2020-2039, access1_3, Annual Anomaly, AUT
-0.1952, 2020-2039, bcc_csm1_1_m, Annual Anomaly, AUT
-0.5031, 2020-2039, bcc_csm1_1, Annual Anomaly, AUT
-0.1478, 2020-2039, bnu_esm, Annual Anomaly, AUT
0.19209, 2020-2039, canesm2, Annual Anomaly, AUT
-0.8389, 2020-2039, ccsm4, Annual Anomaly, AUT
-1.0757, 2020-2039, cesm1_bgc, Annual Anomaly, AUT
-0.5964, 2020-2039, cesm1_cam5, Annual Anomaly, AUT
0.10213, 2020-2039, cmcc_cesm, Annual Anomaly, AUT
0.63848, 2020-2039, cmcc_cm, Annual Anomaly, AUT
-0.5398, 2020-2039, cmcc_cms, Annual Anomaly, AUT
0.50605, 2020-2039, cnrm_cm5, Annual Anomaly, AUT
-0.6037, 2020-2039, csiro_mk3_6_0, Annual Anomaly, AUT
-0.6972, 2020-2039, gfdl_cm3, Annual Anomaly, AUT
0.16026, 2020-2039, gfdl_esm2g, Annual Anomaly, AUT
-0.0774, 2020-2039, gfdl_esm2m, Annual Anomaly, AUT
-0.2042, 2020-2039, inmcm4, Annual Anomaly, AUT
0.28675, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, AUT
-0.2063, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, AUT
-0.4949, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, AUT
0.02781, 2020-2039, miroc5, Annual Anomaly, AUT
0.17642, 2020-2039, miroc_esm_chem, Annual Anomaly, AUT
0.03137, 2020-2039, miroc_esm, Annual Anomaly, AUT
-0.736, 2020-2039, mpi_esm_mr, Annual Anomaly, AUT
0.4486, 2020-2039, mri_cgcm3, Annual Anomaly, AUT
0.3457, 2020-2039, mri_esm1, Annual Anomaly, AUT
-0.4889, 2020-2039, noresm1_m, Annual Anomaly, AUT
-0.6202, 2020-2039, access1_3, Annual Anomaly, BHR
-1.1271, 2020-2039, bcc_csm1_1_m, Annual Anomaly, BHR
-0.9365, 2020-2039, bcc_csm1_1, Annual Anomaly, BHR
-0.0079, 2020-2039, bnu_esm, Annual Anomaly, BHR
-0.1276, 2020-2039, canesm2, Annual Anomaly, BHR
-0.2143, 2020-2039, ccsm4, Annual Anomaly, BHR
0.6448, 2020-2039, cesm1_bgc, Annual Anomaly, BHR
-0.0271, 2020-2039, cesm1_cam5, Annual Anomaly, BHR
0.24709, 2020-2039, cmcc_cesm, Annual Anomaly, BHR
-1.0305, 2020-2039, cmcc_cm, Annual Anomaly, BHR
-0.7814, 2020-2039, cmcc_cms, Annual Anomaly, BHR
-0.2284, 2020-2039, cnrm_cm5, Annual Anomaly, BHR
-1.6262, 2020-2039, csiro_mk3_6_0, Annual Anomaly, BHR
-0.4036, 2020-2039, gfdl_cm3, Annual Anomaly, BHR
-0.9544, 2020-2039, gfdl_esm2g, Annual Anomaly, BHR
-0.2244, 2020-2039, gfdl_esm2m, Annual Anomaly, BHR
-0.2826, 2020-2039, inmcm4, Annual Anomaly, BHR
-0.4071, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, BHR
-1.7508, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, BHR
-2.365, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, BHR
0.17399, 2020-2039, miroc5, Annual Anomaly, BHR
-0.5111, 2020-2039, miroc_esm_chem, Annual Anomaly, BHR
0.479, 2020-2039, miroc_esm, Annual Anomaly, BHR
-0.9035, 2020-2039, mpi_esm_mr, Annual Anomaly, BHR
-0.6018, 2020-2039, mri_cgcm3, Annual Anomaly, BHR
0.24734, 2020-2039, mri_esm1, Annual Anomaly, BHR
-0.273, 2020-2039, noresm1_m, Annual Anomaly, BHR
0.32727, 2020-2039, access1_3, Annual Anomaly, BEN
