Annual Severe Drought Likelihood - (Probability), Year, Model, Statistics, ISO3
0.47755, 2060-2079, access1_3, Annual Anomaly, AFG
0.75501, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AFG
0.86659, 2060-2079, bcc_csm1_1, Annual Anomaly, AFG
0.69768, 2060-2079, bnu_esm, Annual Anomaly, AFG
0.55013, 2060-2079, canesm2, Annual Anomaly, AFG
0.46687, 2060-2079, ccsm4, Annual Anomaly, AFG
0.55288, 2060-2079, cesm1_bgc, Annual Anomaly, AFG
0.32914, 2060-2079, cesm1_cam5, Annual Anomaly, AFG
0.85222, 2060-2079, cmcc_cesm, Annual Anomaly, AFG
0.78616, 2060-2079, cmcc_cm, Annual Anomaly, AFG
0.72291, 2060-2079, cmcc_cms, Annual Anomaly, AFG
0.43241, 2060-2079, cnrm_cm5, Annual Anomaly, AFG
0.85018, 2060-2079, csiro_mk3_6_0, Annual Anomaly, AFG
0.77727, 2060-2079, gfdl_cm3, Annual Anomaly, AFG
0.71234, 2060-2079, gfdl_esm2g, Annual Anomaly, AFG
0.64163, 2060-2079, gfdl_esm2m, Annual Anomaly, AFG
0.32972, 2060-2079, inmcm4, Annual Anomaly, AFG
0.95335, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, AFG
0.92245, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, AFG
0.70839, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, AFG
0.61049, 2060-2079, miroc5, Annual Anomaly, AFG
0.77337, 2060-2079, miroc_esm_chem, Annual Anomaly, AFG
0.79573, 2060-2079, miroc_esm, Annual Anomaly, AFG
0.56605, 2060-2079, mpi_esm_mr, Annual Anomaly, AFG
0.44384, 2060-2079, mri_cgcm3, Annual Anomaly, AFG
0.43734, 2060-2079, mri_esm1, Annual Anomaly, AFG
0.82461, 2060-2079, noresm1_m, Annual Anomaly, AFG
0.43174, 2060-2079, access1_3, Annual Anomaly, ALB
0.61986, 2060-2079, bcc_csm1_1_m, Annual Anomaly, ALB
