Annual Severe Drought Likelihood - (Probability), Year, Model, Statistics, ISO3
0.74864, 2080-2099, bcc_csm1_1_m, Annual Anomaly, AFG
0.79398, 2080-2099, bcc_csm1_1, Annual Anomaly, AFG
0.35508, 2080-2099, ccsm4, Annual Anomaly, AFG
0.27131, 2080-2099, cesm1_cam5, Annual Anomaly, AFG
0.78026, 2080-2099, csiro_mk3_6_0, Annual Anomaly, AFG
0.80883, 2080-2099, gfdl_cm3, Annual Anomaly, AFG
0.77329, 2080-2099, gfdl_esm2g, Annual Anomaly, AFG
0.50956, 2080-2099, gfdl_esm2m, Annual Anomaly, AFG
0.91594, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, AFG
0.87118, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, AFG
0.65991, 2080-2099, miroc5, Annual Anomaly, AFG
0.81143, 2080-2099, miroc_esm_chem, Annual Anomaly, AFG
0.60218, 2080-2099, miroc_esm, Annual Anomaly, AFG
0.40455, 2080-2099, mri_cgcm3, Annual Anomaly, AFG
0.56576, 2080-2099, noresm1_m, Annual Anomaly, AFG
0.42426, 2080-2099, bcc_csm1_1_m, Annual Anomaly, ALB
0.18795, 2080-2099, bcc_csm1_1, Annual Anomaly, ALB
0.38193, 2080-2099, ccsm4, Annual Anomaly, ALB
0.07719, 2080-2099, cesm1_cam5, Annual Anomaly, ALB
0.57022, 2080-2099, csiro_mk3_6_0, Annual Anomaly, ALB
0.77036, 2080-2099, gfdl_cm3, Annual Anomaly, ALB
0.514, 2080-2099, gfdl_esm2g, Annual Anomaly, ALB
0.58602, 2080-2099, gfdl_esm2m, Annual Anomaly, ALB
0.4165, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, ALB
0.51072, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, ALB
0.47744, 2080-2099, miroc5, Annual Anomaly, ALB
0.754, 2080-2099, miroc_esm_chem, Annual Anomaly, ALB
0.94523, 2080-2099, miroc_esm, Annual Anomaly, ALB
