Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-0.4971, 2040-2059, access1_3, Annual Anomaly, AFG
-1.4711, 2040-2059, bcc_csm1_1_m, Annual Anomaly, AFG
-1.1464, 2040-2059, bcc_csm1_1, Annual Anomaly, AFG
-0.5167, 2040-2059, bnu_esm, Annual Anomaly, AFG
-0.5672, 2040-2059, canesm2, Annual Anomaly, AFG
-0.5329, 2040-2059, ccsm4, Annual Anomaly, AFG
-0.6291, 2040-2059, cesm1_bgc, Annual Anomaly, AFG
-0.521, 2040-2059, cesm1_cam5, Annual Anomaly, AFG
-0.4698, 2040-2059, cnrm_cm5, Annual Anomaly, AFG
-1.9572, 2040-2059, csiro_mk3_6_0, Annual Anomaly, AFG
-0.9405, 2040-2059, gfdl_cm3, Annual Anomaly, AFG
-1.2325, 2040-2059, gfdl_esm2g, Annual Anomaly, AFG
-0.5043, 2040-2059, gfdl_esm2m, Annual Anomaly, AFG
-0.1534, 2040-2059, inmcm4, Annual Anomaly, AFG
-1.9687, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, AFG
-2.2672, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, AFG
-1.4654, 2040-2059, ipsl_cm5b_lr, Annual Anomaly, AFG
-1.1319, 2040-2059, miroc5, Annual Anomaly, AFG
-0.7878, 2040-2059, miroc_esm_chem, Annual Anomaly, AFG
-1.0981, 2040-2059, miroc_esm, Annual Anomaly, AFG
-0.715, 2040-2059, mpi_esm_mr, Annual Anomaly, AFG
-0.0912, 2040-2059, mri_cgcm3, Annual Anomaly, AFG
-1.1253, 2040-2059, noresm1_m, Annual Anomaly, AFG
-0.7793, 2040-2059, access1_3, Annual Anomaly, ALB
-0.5603, 2040-2059, bcc_csm1_1_m, Annual Anomaly, ALB
-0.8925, 2040-2059, bcc_csm1_1, Annual Anomaly, ALB
-0.9658, 2040-2059, bnu_esm, Annual Anomaly, ALB
-1.0026, 2040-2059, canesm2, Annual Anomaly, ALB
-1.0282, 2040-2059, ccsm4, Annual Anomaly, ALB
-0.4909, 2040-2059, cesm1_bgc, Annual Anomaly, ALB
-0.1612, 2040-2059, cesm1_cam5, Annual Anomaly, ALB
-0.2576, 2040-2059, cnrm_cm5, Annual Anomaly, ALB
-1.7785, 2040-2059, csiro_mk3_6_0, Annual Anomaly, ALB
-1.7739, 2040-2059, gfdl_cm3, Annual Anomaly, ALB
-0.2585, 2040-2059, gfdl_esm2g, Annual Anomaly, ALB
-0.7631, 2040-2059, gfdl_esm2m, Annual Anomaly, ALB
-0.8507, 2040-2059, inmcm4, Annual Anomaly, ALB
-0.541, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, ALB
-0.9783, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, ALB
-0.3244, 2040-2059, ipsl_cm5b_lr, Annual Anomaly, ALB
-0.9216, 2040-2059, miroc5, Annual Anomaly, ALB
-1.7043, 2040-2059, miroc_esm_chem, Annual Anomaly, ALB
-1.5129, 2040-2059, miroc_esm, Annual Anomaly, ALB
