Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-0.3636, 2020-2039, access1_3, Annual Anomaly, ALB
-0.8296, 2020-2039, bcc_csm1_1_m, Annual Anomaly, ALB
-0.0355, 2020-2039, bcc_csm1_1, Annual Anomaly, ALB
-1.0475, 2020-2039, bnu_esm, Annual Anomaly, ALB
-0.5429, 2020-2039, canesm2, Annual Anomaly, ALB
-0.51, 2020-2039, ccsm4, Annual Anomaly, ALB
0.04816, 2020-2039, cesm1_bgc, Annual Anomaly, ALB
0.09646, 2020-2039, cesm1_cam5, Annual Anomaly, ALB
-0.0498, 2020-2039, cnrm_cm5, Annual Anomaly, ALB
-1.2769, 2020-2039, csiro_mk3_6_0, Annual Anomaly, ALB
-1.4012, 2020-2039, gfdl_cm3, Annual Anomaly, ALB
-0.2698, 2020-2039, gfdl_esm2g, Annual Anomaly, ALB
-0.5143, 2020-2039, gfdl_esm2m, Annual Anomaly, ALB
-0.5918, 2020-2039, inmcm4, Annual Anomaly, ALB
-0.3892, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, ALB
-0.677, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, ALB
-0.1538, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, ALB
-0.0387, 2020-2039, miroc5, Annual Anomaly, ALB
-0.9405, 2020-2039, miroc_esm_chem, Annual Anomaly, ALB
-1.144, 2020-2039, miroc_esm, Annual Anomaly, ALB
-0.7896, 2020-2039, mpi_esm_mr, Annual Anomaly, ALB
0.01847, 2020-2039, mri_cgcm3, Annual Anomaly, ALB
-0.0083, 2020-2039, noresm1_m, Annual Anomaly, ALB
-1.5382, 2020-2039, access1_3, Annual Anomaly, DZA
-0.8806, 2020-2039, bcc_csm1_1_m, Annual Anomaly, DZA
-0.7401, 2020-2039, bcc_csm1_1, Annual Anomaly, DZA
-0.6142, 2020-2039, bnu_esm, Annual Anomaly, DZA
-0.8556, 2020-2039, canesm2, Annual Anomaly, DZA
-1.047, 2020-2039, ccsm4, Annual Anomaly, DZA
-0.8782, 2020-2039, cesm1_bgc, Annual Anomaly, DZA
-0.476, 2020-2039, cesm1_cam5, Annual Anomaly, DZA
-0.4595, 2020-2039, cnrm_cm5, Annual Anomaly, DZA
-0.303, 2020-2039, csiro_mk3_6_0, Annual Anomaly, DZA
-1.3697, 2020-2039, gfdl_cm3, Annual Anomaly, DZA
-0.3858, 2020-2039, gfdl_esm2g, Annual Anomaly, DZA
-0.5244, 2020-2039, gfdl_esm2m, Annual Anomaly, DZA
