Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-0.886, 2080-2099, bcc_csm1_1_m, Annual Anomaly, DZA
-0.6302, 2080-2099, bcc_csm1_1, Annual Anomaly, DZA
-0.8284, 2080-2099, bnu_esm, Annual Anomaly, DZA
-1.0604, 2080-2099, canesm2, Annual Anomaly, DZA
-0.7777, 2080-2099, ccsm4, Annual Anomaly, DZA
-0.8589, 2080-2099, cesm1_cam5, Annual Anomaly, DZA
-0.9265, 2080-2099, cnrm_cm5, Annual Anomaly, DZA
-0.9073, 2080-2099, csiro_mk3_6_0, Annual Anomaly, DZA
-2.1816, 2080-2099, gfdl_cm3, Annual Anomaly, DZA
-0.1425, 2080-2099, gfdl_esm2g, Annual Anomaly, DZA
-0.7547, 2080-2099, gfdl_esm2m, Annual Anomaly, DZA
-1.4428, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, DZA
-1.3165, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, DZA
-1.1657, 2080-2099, miroc5, Annual Anomaly, DZA
-1.1959, 2080-2099, miroc_esm_chem, Annual Anomaly, DZA
-1.5849, 2080-2099, miroc_esm, Annual Anomaly, DZA
-1.4757, 2080-2099, mpi_esm_mr, Annual Anomaly, DZA
-0.7706, 2080-2099, mri_cgcm3, Annual Anomaly, DZA
-1.205, 2080-2099, noresm1_m, Annual Anomaly, DZA
-0.6351, 2080-2099, bcc_csm1_1_m, Annual Anomaly, AGO
-0.0204, 2080-2099, bcc_csm1_1, Annual Anomaly, AGO
0.11858, 2080-2099, bnu_esm, Annual Anomaly, AGO
-1.2799, 2080-2099, canesm2, Annual Anomaly, AGO
-0.0625, 2080-2099, ccsm4, Annual Anomaly, AGO
-0.1072, 2080-2099, cesm1_cam5, Annual Anomaly, AGO
-0.1854, 2080-2099, cnrm_cm5, Annual Anomaly, AGO
-1.3539, 2080-2099, csiro_mk3_6_0, Annual Anomaly, AGO
-0.7411, 2080-2099, gfdl_cm3, Annual Anomaly, AGO
-0.5157, 2080-2099, gfdl_esm2g, Annual Anomaly, AGO
-0.0357, 2080-2099, gfdl_esm2m, Annual Anomaly, AGO
-0.1703, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, AGO
-0.4337, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, AGO
0.22861, 2080-2099, miroc5, Annual Anomaly, AGO
-0.5557, 2080-2099, miroc_esm_chem, Annual Anomaly, AGO
-0.4036, 2080-2099, miroc_esm, Annual Anomaly, AGO
-0.2343, 2080-2099, mpi_esm_mr, Annual Anomaly, AGO
-0.118, 2080-2099, mri_cgcm3, Annual Anomaly, AGO
