Annual Severe Drought Likelihood - (Probability), Year, Model, Statistics, ISO3
0.40311, 2020-2039, access1_3, Annual Anomaly, AFG
0.44843, 2020-2039, bcc_csm1_1_m, Annual Anomaly, AFG
0.32098, 2020-2039, bcc_csm1_1, Annual Anomaly, AFG
0.22949, 2020-2039, bnu_esm, Annual Anomaly, AFG
0.13124, 2020-2039, canesm2, Annual Anomaly, AFG
0.14233, 2020-2039, ccsm4, Annual Anomaly, AFG
0.17811, 2020-2039, cesm1_bgc, Annual Anomaly, AFG
0.036, 2020-2039, cesm1_cam5, Annual Anomaly, AFG
0.28354, 2020-2039, cmcc_cesm, Annual Anomaly, AFG
0.43066, 2020-2039, cmcc_cm, Annual Anomaly, AFG
0.3541, 2020-2039, cmcc_cms, Annual Anomaly, AFG
0.17037, 2020-2039, cnrm_cm5, Annual Anomaly, AFG
0.56211, 2020-2039, csiro_mk3_6_0, Annual Anomaly, AFG
0.30106, 2020-2039, gfdl_cm3, Annual Anomaly, AFG
0.38037, 2020-2039, gfdl_esm2g, Annual Anomaly, AFG
0.3204, 2020-2039, gfdl_esm2m, Annual Anomaly, AFG
0.09792, 2020-2039, inmcm4, Annual Anomaly, AFG
0.60582, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, AFG
0.50405, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, AFG
0.43156, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, AFG
0.26593, 2020-2039, miroc5, Annual Anomaly, AFG
0.3632, 2020-2039, miroc_esm_chem, Annual Anomaly, AFG
0.26841, 2020-2039, miroc_esm, Annual Anomaly, AFG
0.09391, 2020-2039, mpi_esm_mr, Annual Anomaly, AFG
0.15874, 2020-2039, mri_cgcm3, Annual Anomaly, AFG
0.00887, 2020-2039, mri_esm1, Annual Anomaly, AFG
0.27636, 2020-2039, noresm1_m, Annual Anomaly, AFG
0.0929, 2020-2039, access1_3, Annual Anomaly, ALB
0.21658, 2020-2039, bcc_csm1_1_m, Annual Anomaly, ALB
0.10915, 2020-2039, bcc_csm1_1, Annual Anomaly, ALB
0.46292, 2020-2039, bnu_esm, Annual Anomaly, ALB
0.16377, 2020-2039, canesm2, Annual Anomaly, ALB
0.45682, 2020-2039, ccsm4, Annual Anomaly, ALB
0.0871, 2020-2039, cesm1_bgc, Annual Anomaly, ALB
0.12706, 2020-2039, cesm1_cam5, Annual Anomaly, ALB
0.29615, 2020-2039, cmcc_cesm, Annual Anomaly, ALB
0.05522, 2020-2039, cmcc_cm, Annual Anomaly, ALB
-0.0495, 2020-2039, cmcc_cms, Annual Anomaly, ALB
0.23694, 2020-2039, cnrm_cm5, Annual Anomaly, ALB
0.46514, 2020-2039, csiro_mk3_6_0, Annual Anomaly, ALB
0.53249, 2020-2039, gfdl_cm3, Annual Anomaly, ALB
0.039, 2020-2039, gfdl_esm2g, Annual Anomaly, ALB
0.07663, 2020-2039, gfdl_esm2m, Annual Anomaly, ALB
0.34648, 2020-2039, inmcm4, Annual Anomaly, ALB
0.05061, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, ALB
0.03887, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, ALB
0.31126, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, ALB
0.16672, 2020-2039, miroc5, Annual Anomaly, ALB
0.19287, 2020-2039, miroc_esm_chem, Annual Anomaly, ALB
0.72879, 2020-2039, miroc_esm, Annual Anomaly, ALB
-0.0867, 2020-2039, mpi_esm_mr, Annual Anomaly, ALB
0.33328, 2020-2039, mri_cgcm3, Annual Anomaly, ALB
0.31259, 2020-2039, mri_esm1, Annual Anomaly, ALB
0.28594, 2020-2039, noresm1_m, Annual Anomaly, ALB
0.53993, 2020-2039, access1_3, Annual Anomaly, DZA
0.4881, 2020-2039, bcc_csm1_1_m, Annual Anomaly, DZA
0.45986, 2020-2039, bcc_csm1_1, Annual Anomaly, DZA
0.51493, 2020-2039, bnu_esm, Annual Anomaly, DZA
0.43219, 2020-2039, canesm2, Annual Anomaly, DZA
0.4933, 2020-2039, ccsm4, Annual Anomaly, DZA
0.25088, 2020-2039, cesm1_bgc, Annual Anomaly, DZA
0.20733, 2020-2039, cesm1_cam5, Annual Anomaly, DZA
0.49905, 2020-2039, cmcc_cesm, Annual Anomaly, DZA
0.45788, 2020-2039, cmcc_cm, Annual Anomaly, DZA
0.45578, 2020-2039, cmcc_cms, Annual Anomaly, DZA
0.18469, 2020-2039, cnrm_cm5, Annual Anomaly, DZA
0.10754, 2020-2039, csiro_mk3_6_0, Annual Anomaly, DZA
0.75349, 2020-2039, gfdl_cm3, Annual Anomaly, DZA
0.23745, 2020-2039, gfdl_esm2g, Annual Anomaly, DZA
0.47266, 2020-2039, gfdl_esm2m, Annual Anomaly, DZA
0.06945, 2020-2039, inmcm4, Annual Anomaly, DZA
0.39021, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, DZA
0.37504, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, DZA
0.45846, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, DZA
0.30632, 2020-2039, miroc5, Annual Anomaly, DZA
0.33172, 2020-2039, miroc_esm_chem, Annual Anomaly, DZA
0.54822, 2020-2039, miroc_esm, Annual Anomaly, DZA
0.49872, 2020-2039, mpi_esm_mr, Annual Anomaly, DZA
0.55796, 2020-2039, mri_cgcm3, Annual Anomaly, DZA
0.47369, 2020-2039, mri_esm1, Annual Anomaly, DZA
0.38569, 2020-2039, noresm1_m, Annual Anomaly, DZA
0.12896, 2020-2039, access1_3, Annual Anomaly, AND
0.36151, 2020-2039, bcc_csm1_1_m, Annual Anomaly, AND
0.10289, 2020-2039, bcc_csm1_1, Annual Anomaly, AND
-0.0086, 2020-2039, bnu_esm, Annual Anomaly, AND
0.20289, 2020-2039, canesm2, Annual Anomaly, AND
0.00579, 2020-2039, ccsm4, Annual Anomaly, AND
0.7904, 2020-2039, cesm1_bgc, Annual Anomaly, AND
-0.023, 2020-2039, cesm1_cam5, Annual Anomaly, AND
0.24233, 2020-2039, cmcc_cesm, Annual Anomaly, AND
0.15766, 2020-2039, cmcc_cm, Annual Anomaly, AND
0.26055, 2020-2039, cmcc_cms, Annual Anomaly, AND
-0.0576, 2020-2039, cnrm_cm5, Annual Anomaly, AND
0.25681, 2020-2039, csiro_mk3_6_0, Annual Anomaly, AND
0.61718, 2020-2039, gfdl_cm3, Annual Anomaly, AND
0.24813, 2020-2039, gfdl_esm2g, Annual Anomaly, AND
0.32887, 2020-2039, gfdl_esm2m, Annual Anomaly, AND
0.3827, 2020-2039, inmcm4, Annual Anomaly, AND
0.20452, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, AND
0.5202, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, AND
-0.0039, 2020-2039, miroc5, Annual Anomaly, AND
0.74517, 2020-2039, miroc_esm_chem, Annual Anomaly, AND
0.49233, 2020-2039, miroc_esm, Annual Anomaly, AND
0.65301, 2020-2039, mpi_esm_mr, Annual Anomaly, AND
0.18756, 2020-2039, mri_cgcm3, Annual Anomaly, AND
0.05271, 2020-2039, mri_esm1, Annual Anomaly, AND
0.00869, 2020-2039, noresm1_m, Annual Anomaly, AND
0.05043, 2020-2039, access1_3, Annual Anomaly, AGO
0.30194, 2020-2039, bcc_csm1_1_m, Annual Anomaly, AGO
0.06195, 2020-2039, bcc_csm1_1, Annual Anomaly, AGO
0.06294, 2020-2039, bnu_esm, Annual Anomaly, AGO
0.17039, 2020-2039, canesm2, Annual Anomaly, AGO
0.03614, 2020-2039, ccsm4, Annual Anomaly, AGO
0.29803, 2020-2039, cesm1_bgc, Annual Anomaly, AGO
0.04971, 2020-2039, cesm1_cam5, Annual Anomaly, AGO
0.06905, 2020-2039, cmcc_cesm, Annual Anomaly, AGO
0.13154, 2020-2039, cmcc_cm, Annual Anomaly, AGO
0.12443, 2020-2039, cmcc_cms, Annual Anomaly, AGO
0.07714, 2020-2039, cnrm_cm5, Annual Anomaly, AGO
0.32457, 2020-2039, csiro_mk3_6_0, Annual Anomaly, AGO
