Annual Severe Drought Likelihood - (Probability), Year, Model, Statistics, ISO3
0.47004, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AFG
0.12375, 2060-2079, bcc_csm1_1, Annual Anomaly, AFG
0.19083, 2060-2079, bnu_esm, Annual Anomaly, AFG
0.21029, 2060-2079, canesm2, Annual Anomaly, AFG
0.05619, 2060-2079, ccsm4, Annual Anomaly, AFG
0.10837, 2060-2079, cesm1_cam5, Annual Anomaly, AFG
0.12878, 2060-2079, cnrm_cm5, Annual Anomaly, AFG
0.34921, 2060-2079, csiro_mk3_6_0, Annual Anomaly, AFG
0.35928, 2060-2079, gfdl_cm3, Annual Anomaly, AFG
0.38262, 2060-2079, gfdl_esm2g, Annual Anomaly, AFG
0.14854, 2060-2079, gfdl_esm2m, Annual Anomaly, AFG
0.59688, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, AFG
0.39776, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, AFG
0.38499, 2060-2079, miroc5, Annual Anomaly, AFG
0.42101, 2060-2079, miroc_esm_chem, Annual Anomaly, AFG
0.34159, 2060-2079, miroc_esm, Annual Anomaly, AFG
0.09896, 2060-2079, mpi_esm_mr, Annual Anomaly, AFG
0.13979, 2060-2079, mri_cgcm3, Annual Anomaly, AFG
0.37634, 2060-2079, noresm1_m, Annual Anomaly, AFG
0.18938, 2060-2079, bcc_csm1_1_m, Annual Anomaly, ALB
-0.0325, 2060-2079, bcc_csm1_1, Annual Anomaly, ALB
0.20242, 2060-2079, bnu_esm, Annual Anomaly, ALB
0.075, 2060-2079, canesm2, Annual Anomaly, ALB
0.3948, 2060-2079, ccsm4, Annual Anomaly, ALB
0.01214, 2060-2079, cesm1_cam5, Annual Anomaly, ALB
0.32905, 2060-2079, cnrm_cm5, Annual Anomaly, ALB
0.5027, 2060-2079, csiro_mk3_6_0, Annual Anomaly, ALB
0.66241, 2060-2079, gfdl_cm3, Annual Anomaly, ALB
0.00837, 2060-2079, gfdl_esm2g, Annual Anomaly, ALB
0.26132, 2060-2079, gfdl_esm2m, Annual Anomaly, ALB
0.03336, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, ALB
0.08311, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, ALB
0.17839, 2060-2079, miroc5, Annual Anomaly, ALB
0.809, 2060-2079, miroc_esm_chem, Annual Anomaly, ALB
0.55776, 2060-2079, miroc_esm, Annual Anomaly, ALB
-0.0355, 2060-2079, mpi_esm_mr, Annual Anomaly, ALB
0.10018, 2060-2079, mri_cgcm3, Annual Anomaly, ALB
0.2802, 2060-2079, noresm1_m, Annual Anomaly, ALB
0.53811, 2060-2079, bcc_csm1_1_m, Annual Anomaly, DZA
0.31812, 2060-2079, bcc_csm1_1, Annual Anomaly, DZA
0.33386, 2060-2079, bnu_esm, Annual Anomaly, DZA
0.5125, 2060-2079, canesm2, Annual Anomaly, DZA
0.41089, 2060-2079, ccsm4, Annual Anomaly, DZA
0.43198, 2060-2079, cesm1_cam5, Annual Anomaly, DZA
0.25482, 2060-2079, cnrm_cm5, Annual Anomaly, DZA
0.28754, 2060-2079, csiro_mk3_6_0, Annual Anomaly, DZA
0.83966, 2060-2079, gfdl_cm3, Annual Anomaly, DZA
0.27254, 2060-2079, gfdl_esm2g, Annual Anomaly, DZA
0.54704, 2060-2079, gfdl_esm2m, Annual Anomaly, DZA
0.55602, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, DZA
0.64701, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, DZA
0.33661, 2060-2079, miroc5, Annual Anomaly, DZA
0.58526, 2060-2079, miroc_esm_chem, Annual Anomaly, DZA
0.46311, 2060-2079, miroc_esm, Annual Anomaly, DZA
0.30474, 2060-2079, mpi_esm_mr, Annual Anomaly, DZA
0.58968, 2060-2079, mri_cgcm3, Annual Anomaly, DZA
0.4889, 2060-2079, noresm1_m, Annual Anomaly, DZA
0.18262, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AND
0.16254, 2060-2079, bcc_csm1_1, Annual Anomaly, AND
0.05952, 2060-2079, bnu_esm, Annual Anomaly, AND
0.0942, 2060-2079, canesm2, Annual Anomaly, AND
-0.0423, 2060-2079, ccsm4, Annual Anomaly, AND
0.01243, 2060-2079, cesm1_cam5, Annual Anomaly, AND
-0.0394, 2060-2079, cnrm_cm5, Annual Anomaly, AND
0.48178, 2060-2079, csiro_mk3_6_0, Annual Anomaly, AND
0.73551, 2060-2079, gfdl_cm3, Annual Anomaly, AND
0.11738, 2060-2079, gfdl_esm2g, Annual Anomaly, AND
0.33654, 2060-2079, gfdl_esm2m, Annual Anomaly, AND
0.06055, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, AND
0.08829, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, AND
0.06158, 2060-2079, miroc5, Annual Anomaly, AND
0.55869, 2060-2079, miroc_esm_chem, Annual Anomaly, AND
0.73256, 2060-2079, miroc_esm, Annual Anomaly, AND
0.35579, 2060-2079, mpi_esm_mr, Annual Anomaly, AND
0.12123, 2060-2079, mri_cgcm3, Annual Anomaly, AND
0.1471, 2060-2079, noresm1_m, Annual Anomaly, AND
0.2992, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AGO
0.04245, 2060-2079, bcc_csm1_1, Annual Anomaly, AGO
0.04293, 2060-2079, bnu_esm, Annual Anomaly, AGO
0.29203, 2060-2079, canesm2, Annual Anomaly, AGO
0.08131, 2060-2079, ccsm4, Annual Anomaly, AGO
0.08073, 2060-2079, cesm1_cam5, Annual Anomaly, AGO
0.05399, 2060-2079, cnrm_cm5, Annual Anomaly, AGO
0.50136, 2060-2079, csiro_mk3_6_0, Annual Anomaly, AGO
0.48368, 2060-2079, gfdl_cm3, Annual Anomaly, AGO
0.18621, 2060-2079, gfdl_esm2g, Annual Anomaly, AGO
0.03741, 2060-2079, gfdl_esm2m, Annual Anomaly, AGO
-0.0057, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, AGO
0.25887, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, AGO
0.04706, 2060-2079, miroc5, Annual Anomaly, AGO
0.07657, 2060-2079, miroc_esm_chem, Annual Anomaly, AGO
0.28795, 2060-2079, miroc_esm, Annual Anomaly, AGO
0.09792, 2060-2079, mpi_esm_mr, Annual Anomaly, AGO
0.11854, 2060-2079, mri_cgcm3, Annual Anomaly, AGO
0.14925, 2060-2079, noresm1_m, Annual Anomaly, AGO
0.14019, 2060-2079, bcc_csm1_1_m, Annual Anomaly, ATG
0.12009, 2060-2079, bcc_csm1_1, Annual Anomaly, ATG
0.0299, 2060-2079, bnu_esm, Annual Anomaly, ATG
0.05, 2060-2079, ccsm4, Annual Anomaly, ATG
0.12009, 2060-2079, cesm1_cam5, Annual Anomaly, ATG
0.1, 2060-2079, cnrm_cm5, Annual Anomaly, ATG
0.04019, 2060-2079, csiro_mk3_6_0, Annual Anomaly, ATG
0.02009, 2060-2079, gfdl_cm3, Annual Anomaly, ATG
0.1098, 2060-2079, gfdl_esm2g, Annual Anomaly, ATG
0.1, 2060-2079, gfdl_esm2m, Annual Anomaly, ATG
0.1897, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, ATG
0.3, 2060-2079, miroc5, Annual Anomaly, ATG
0.06029, 2060-2079, miroc_esm_chem, Annual Anomaly, ATG
-0.0598, 2060-2079, miroc_esm, Annual Anomaly, ATG
0.0098, 2060-2079, mpi_esm_mr, Annual Anomaly, ATG
-4.0E-4, 2060-2079, mri_cgcm3, Annual Anomaly, ATG
-0.05, 2060-2079, noresm1_m, Annual Anomaly, ATG
0.15736, 2060-2079, bcc_csm1_1_m, Annual Anomaly, ARG
0.13878, 2060-2079, bcc_csm1_1, Annual Anomaly, ARG
0.08647, 2060-2079, bnu_esm, Annual Anomaly, ARG
0.23614, 2060-2079, canesm2, Annual Anomaly, ARG
0.07996, 2060-2079, ccsm4, Annual Anomaly, ARG
0.11586, 2060-2079, cesm1_cam5, Annual Anomaly, ARG
0.10814, 2060-2079, cnrm_cm5, Annual Anomaly, ARG
0.15778, 2060-2079, csiro_mk3_6_0, Annual Anomaly, ARG
0.31882, 2060-2079, gfdl_cm3, Annual Anomaly, ARG
0.16117, 2060-2079, gfdl_esm2g, Annual Anomaly, ARG
0.17775, 2060-2079, gfdl_esm2m, Annual Anomaly, ARG
0.31308, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, ARG
0.22243, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, ARG
0.10316, 2060-2079, miroc5, Annual Anomaly, ARG
0.25781, 2060-2079, miroc_esm_chem, Annual Anomaly, ARG
0.36651, 2060-2079, miroc_esm, Annual Anomaly, ARG
0.09259, 2060-2079, mpi_esm_mr, Annual Anomaly, ARG
0.11851, 2060-2079, mri_cgcm3, Annual Anomaly, ARG
0.18742, 2060-2079, noresm1_m, Annual Anomaly, ARG
0.11707, 2060-2079, bcc_csm1_1_m, Annual Anomaly, ARM
0.58404, 2060-2079, bcc_csm1_1, Annual Anomaly, ARM
0.16366, 2060-2079, bnu_esm, Annual Anomaly, ARM
0.39684, 2060-2079, canesm2, Annual Anomaly, ARM
0.17616, 2060-2079, ccsm4, Annual Anomaly, ARM
0.00501, 2060-2079, cesm1_cam5, Annual Anomaly, ARM
-0.0077, 2060-2079, cnrm_cm5, Annual Anomaly, ARM
0.50523, 2060-2079, csiro_mk3_6_0, Annual Anomaly, ARM
0.2908, 2060-2079, gfdl_cm3, Annual Anomaly, ARM
0.11643, 2060-2079, gfdl_esm2g, Annual Anomaly, ARM
0.23105, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, ARM
0.52302, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, ARM
0.30781, 2060-2079, miroc5, Annual Anomaly, ARM
0.70414, 2060-2079, miroc_esm_chem, Annual Anomaly, ARM
0.14554, 2060-2079, miroc_esm, Annual Anomaly, ARM
0.15609, 2060-2079, mpi_esm_mr, Annual Anomaly, ARM
0.17513, 2060-2079, mri_cgcm3, Annual Anomaly, ARM
0.00159, 2060-2079, noresm1_m, Annual Anomaly, ARM
0.15505, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AUS
