Annual Severe Drought Likelihood - (Probability), Year, Model, Statistics, ISO3
0.75395, 2080-2099, access1_3, Annual Anomaly, AFG
0.40213, 2080-2099, bcc_csm1_1_m, Annual Anomaly, AFG
0.52319, 2080-2099, bcc_csm1_1, Annual Anomaly, AFG
0.49812, 2080-2099, bnu_esm, Annual Anomaly, AFG
0.47534, 2080-2099, canesm2, Annual Anomaly, AFG
0.31872, 2080-2099, ccsm4, Annual Anomaly, AFG
0.51978, 2080-2099, cesm1_bgc, Annual Anomaly, AFG
0.33991, 2080-2099, cesm1_cam5, Annual Anomaly, AFG
0.36245, 2080-2099, cnrm_cm5, Annual Anomaly, AFG
0.73975, 2080-2099, csiro_mk3_6_0, Annual Anomaly, AFG
0.71796, 2080-2099, gfdl_cm3, Annual Anomaly, AFG
0.48739, 2080-2099, gfdl_esm2g, Annual Anomaly, AFG
0.4279, 2080-2099, gfdl_esm2m, Annual Anomaly, AFG
0.21754, 2080-2099, inmcm4, Annual Anomaly, AFG
0.82545, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, AFG
0.83558, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, AFG
0.51844, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, AFG
0.63629, 2080-2099, miroc5, Annual Anomaly, AFG
0.62334, 2080-2099, miroc_esm_chem, Annual Anomaly, AFG
0.65196, 2080-2099, miroc_esm, Annual Anomaly, AFG
0.3774, 2080-2099, mpi_esm_mr, Annual Anomaly, AFG
0.37417, 2080-2099, mri_cgcm3, Annual Anomaly, AFG
0.74132, 2080-2099, noresm1_m, Annual Anomaly, AFG
0.28187, 2080-2099, access1_3, Annual Anomaly, ALB
0.50125, 2080-2099, bcc_csm1_1_m, Annual Anomaly, ALB
0.18085, 2080-2099, bcc_csm1_1, Annual Anomaly, ALB
0.394, 2080-2099, bnu_esm, Annual Anomaly, ALB
0.30797, 2080-2099, canesm2, Annual Anomaly, ALB
0.42356, 2080-2099, ccsm4, Annual Anomaly, ALB
0.66728, 2080-2099, cesm1_bgc, Annual Anomaly, ALB
0.18002, 2080-2099, cesm1_cam5, Annual Anomaly, ALB
0.20308, 2080-2099, cnrm_cm5, Annual Anomaly, ALB
0.7916, 2080-2099, csiro_mk3_6_0, Annual Anomaly, ALB
0.80368, 2080-2099, gfdl_cm3, Annual Anomaly, ALB
0.17597, 2080-2099, gfdl_esm2g, Annual Anomaly, ALB
0.36009, 2080-2099, gfdl_esm2m, Annual Anomaly, ALB
0.63958, 2080-2099, inmcm4, Annual Anomaly, ALB
0.50086, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, ALB
0.22932, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, ALB
0.24983, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, ALB
0.54736, 2080-2099, miroc5, Annual Anomaly, ALB
0.7638, 2080-2099, miroc_esm_chem, Annual Anomaly, ALB
0.86613, 2080-2099, miroc_esm, Annual Anomaly, ALB
0.05062, 2080-2099, mpi_esm_mr, Annual Anomaly, ALB
0.32434, 2080-2099, mri_cgcm3, Annual Anomaly, ALB
0.50516, 2080-2099, noresm1_m, Annual Anomaly, ALB
0.9063, 2080-2099, access1_3, Annual Anomaly, DZA
0.79662, 2080-2099, bcc_csm1_1_m, Annual Anomaly, DZA
0.58235, 2080-2099, bcc_csm1_1, Annual Anomaly, DZA
0.76579, 2080-2099, bnu_esm, Annual Anomaly, DZA
0.64796, 2080-2099, canesm2, Annual Anomaly, DZA
0.7265, 2080-2099, ccsm4, Annual Anomaly, DZA
0.75841, 2080-2099, cesm1_bgc, Annual Anomaly, DZA
0.78024, 2080-2099, cesm1_cam5, Annual Anomaly, DZA
0.35645, 2080-2099, cnrm_cm5, Annual Anomaly, DZA
0.67776, 2080-2099, csiro_mk3_6_0, Annual Anomaly, DZA
0.94214, 2080-2099, gfdl_cm3, Annual Anomaly, DZA
0.50405, 2080-2099, gfdl_esm2g, Annual Anomaly, DZA
0.7115, 2080-2099, gfdl_esm2m, Annual Anomaly, DZA
0.56563, 2080-2099, inmcm4, Annual Anomaly, DZA
0.83459, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, DZA
0.9036, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, DZA
0.84344, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, DZA
0.78502, 2080-2099, miroc5, Annual Anomaly, DZA
0.74178, 2080-2099, miroc_esm_chem, Annual Anomaly, DZA
0.69531, 2080-2099, miroc_esm, Annual Anomaly, DZA
0.78399, 2080-2099, mpi_esm_mr, Annual Anomaly, DZA
0.79783, 2080-2099, mri_cgcm3, Annual Anomaly, DZA
0.65035, 2080-2099, noresm1_m, Annual Anomaly, DZA
0.51055, 2080-2099, access1_3, Annual Anomaly, AND
0.4682, 2080-2099, bcc_csm1_1_m, Annual Anomaly, AND
