Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-0.8929, 2060-2079, access1_3, Annual Anomaly, AFG
-1.4679, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AFG
-1.7322, 2060-2079, bcc_csm1_1, Annual Anomaly, AFG
-1.1956, 2060-2079, bnu_esm, Annual Anomaly, AFG
-1.1781, 2060-2079, canesm2, Annual Anomaly, AFG
-0.5029, 2060-2079, ccsm4, Annual Anomaly, AFG
-0.7984, 2060-2079, cesm1_bgc, Annual Anomaly, AFG
-0.6039, 2060-2079, cesm1_cam5, Annual Anomaly, AFG
-0.9236, 2060-2079, cnrm_cm5, Annual Anomaly, AFG
-2.1456, 2060-2079, csiro_mk3_6_0, Annual Anomaly, AFG
-1.4142, 2060-2079, gfdl_cm3, Annual Anomaly, AFG
-1.2041, 2060-2079, gfdl_esm2g, Annual Anomaly, AFG
-0.6912, 2060-2079, gfdl_esm2m, Annual Anomaly, AFG
-0.6259, 2060-2079, inmcm4, Annual Anomaly, AFG
-2.3262, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, AFG
-2.6785, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, AFG
-0.9763, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, AFG
-1.9292, 2060-2079, miroc5, Annual Anomaly, AFG
-1.5646, 2060-2079, miroc_esm_chem, Annual Anomaly, AFG
-1.3806, 2060-2079, miroc_esm, Annual Anomaly, AFG
-0.8663, 2060-2079, mpi_esm_mr, Annual Anomaly, AFG
-0.702, 2060-2079, mri_cgcm3, Annual Anomaly, AFG
-1.2114, 2060-2079, noresm1_m, Annual Anomaly, AFG
-0.689, 2060-2079, access1_3, Annual Anomaly, ALB
-0.914, 2060-2079, bcc_csm1_1_m, Annual Anomaly, ALB
-0.5026, 2060-2079, bcc_csm1_1, Annual Anomaly, ALB
-1.4019, 2060-2079, bnu_esm, Annual Anomaly, ALB
-1.0448, 2060-2079, canesm2, Annual Anomaly, ALB
-1.1266, 2060-2079, ccsm4, Annual Anomaly, ALB
-0.7693, 2060-2079, cesm1_bgc, Annual Anomaly, ALB
-0.3221, 2060-2079, cesm1_cam5, Annual Anomaly, ALB
-0.0013, 2060-2079, cnrm_cm5, Annual Anomaly, ALB
-1.8035, 2060-2079, csiro_mk3_6_0, Annual Anomaly, ALB
-1.8482, 2060-2079, gfdl_cm3, Annual Anomaly, ALB
-0.5942, 2060-2079, gfdl_esm2g, Annual Anomaly, ALB
-0.9182, 2060-2079, gfdl_esm2m, Annual Anomaly, ALB
-1.0945, 2060-2079, inmcm4, Annual Anomaly, ALB
-0.7161, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, ALB
-0.8456, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, ALB
-0.4558, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, ALB
-0.9744, 2060-2079, miroc5, Annual Anomaly, ALB
-2.348, 2060-2079, miroc_esm_chem, Annual Anomaly, ALB
-2.1993, 2060-2079, miroc_esm, Annual Anomaly, ALB
-0.5273, 2060-2079, mpi_esm_mr, Annual Anomaly, ALB
-0.2426, 2060-2079, mri_cgcm3, Annual Anomaly, ALB
-0.8277, 2060-2079, noresm1_m, Annual Anomaly, ALB
-0.1666, 2060-2079, access1_3, Annual Anomaly, AGO
-0.9828, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AGO
-0.384, 2060-2079, bcc_csm1_1, Annual Anomaly, AGO
0.28878, 2060-2079, bnu_esm, Annual Anomaly, AGO
-1.3276, 2060-2079, canesm2, Annual Anomaly, AGO
-0.0256, 2060-2079, ccsm4, Annual Anomaly, AGO
-1.0416, 2060-2079, cesm1_bgc, Annual Anomaly, AGO
-0.0245, 2060-2079, cesm1_cam5, Annual Anomaly, AGO
0.22924, 2060-2079, cnrm_cm5, Annual Anomaly, AGO
-1.4714, 2060-2079, csiro_mk3_6_0, Annual Anomaly, AGO
-0.9849, 2060-2079, gfdl_cm3, Annual Anomaly, AGO
-0.1405, 2060-2079, gfdl_esm2g, Annual Anomaly, AGO
-0.5626, 2060-2079, gfdl_esm2m, Annual Anomaly, AGO
-0.1732, 2060-2079, inmcm4, Annual Anomaly, AGO
-0.1193, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, AGO
-0.8085, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, AGO
0.54447, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, AGO
-0.1347, 2060-2079, miroc5, Annual Anomaly, AGO
-0.5215, 2060-2079, miroc_esm_chem, Annual Anomaly, AGO
-0.6043, 2060-2079, miroc_esm, Annual Anomaly, AGO
-0.5851, 2060-2079, mpi_esm_mr, Annual Anomaly, AGO
-0.123, 2060-2079, mri_cgcm3, Annual Anomaly, AGO
-0.2862, 2060-2079, noresm1_m, Annual Anomaly, AGO
0.03995, 2060-2079, access1_3, Annual Anomaly, ATG
-0.6852, 2060-2079, bcc_csm1_1_m, Annual Anomaly, ATG
-1.0121, 2060-2079, bcc_csm1_1, Annual Anomaly, ATG
-0.5599, 2060-2079, bnu_esm, Annual Anomaly, ATG
-0.0453, 2060-2079, canesm2, Annual Anomaly, ATG
-1.8648, 2060-2079, ccsm4, Annual Anomaly, ATG
-1.395, 2060-2079, cesm1_bgc, Annual Anomaly, ATG
