Annual Severe Drought Likelihood - (Probability), Year, Model, Statistics, ISO3
0.53883, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AFG
0.71029, 2060-2079, bcc_csm1_1, Annual Anomaly, AFG
0.24699, 2060-2079, ccsm4, Annual Anomaly, AFG
0.13926, 2060-2079, cesm1_cam5, Annual Anomaly, AFG
0.72663, 2060-2079, csiro_mk3_6_0, Annual Anomaly, AFG
0.62047, 2060-2079, gfdl_cm3, Annual Anomaly, AFG
0.63993, 2060-2079, gfdl_esm2g, Annual Anomaly, AFG
0.36027, 2060-2079, gfdl_esm2m, Annual Anomaly, AFG
0.8599, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, AFG
0.81106, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, AFG
0.47617, 2060-2079, miroc5, Annual Anomaly, AFG
0.68629, 2060-2079, miroc_esm_chem, Annual Anomaly, AFG
0.74026, 2060-2079, miroc_esm, Annual Anomaly, AFG
0.22582, 2060-2079, mri_cgcm3, Annual Anomaly, AFG
0.52044, 2060-2079, noresm1_m, Annual Anomaly, AFG
0.40988, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AGO
0.10621, 2060-2079, bcc_csm1_1, Annual Anomaly, AGO
0.07641, 2060-2079, ccsm4, Annual Anomaly, AGO
0.0593, 2060-2079, cesm1_cam5, Annual Anomaly, AGO
0.48236, 2060-2079, csiro_mk3_6_0, Annual Anomaly, AGO
0.48379, 2060-2079, gfdl_cm3, Annual Anomaly, AGO
0.18882, 2060-2079, gfdl_esm2g, Annual Anomaly, AGO
0.11795, 2060-2079, gfdl_esm2m, Annual Anomaly, AGO
0.09194, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, AGO
0.31736, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, AGO
0.04803, 2060-2079, miroc5, Annual Anomaly, AGO
0.1514, 2060-2079, miroc_esm_chem, Annual Anomaly, AGO
0.14975, 2060-2079, miroc_esm, Annual Anomaly, AGO
0.10291, 2060-2079, mri_cgcm3, Annual Anomaly, AGO
0.19526, 2060-2079, noresm1_m, Annual Anomaly, AGO
0.48546, 2060-2079, bcc_csm1_1_m, Annual Anomaly, ARM
0.75256, 2060-2079, bcc_csm1_1, Annual Anomaly, ARM
0.37466, 2060-2079, ccsm4, Annual Anomaly, ARM
0.05227, 2060-2079, cesm1_cam5, Annual Anomaly, ARM
0.63563, 2060-2079, csiro_mk3_6_0, Annual Anomaly, ARM
0.40434, 2060-2079, gfdl_cm3, Annual Anomaly, ARM
0.50141, 2060-2079, gfdl_esm2g, Annual Anomaly, ARM
0.27256, 2060-2079, gfdl_esm2m, Annual Anomaly, ARM
0.71805, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, ARM
0.88817, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, ARM
0.29393, 2060-2079, miroc5, Annual Anomaly, ARM
0.76916, 2060-2079, miroc_esm_chem, Annual Anomaly, ARM
0.42844, 2060-2079, miroc_esm, Annual Anomaly, ARM
0.00253, 2060-2079, mri_cgcm3, Annual Anomaly, ARM
0.30402, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AUS
0.20038, 2060-2079, bcc_csm1_1, Annual Anomaly, AUS
0.08738, 2060-2079, ccsm4, Annual Anomaly, AUS
0.51652, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AZE
0.53165, 2060-2079, bcc_csm1_1, Annual Anomaly, AZE
0.15078, 2060-2079, ccsm4, Annual Anomaly, AZE
0.19966, 2060-2079, cesm1_cam5, Annual Anomaly, AZE
0.47741, 2060-2079, csiro_mk3_6_0, Annual Anomaly, AZE
0.64168, 2060-2079, gfdl_cm3, Annual Anomaly, AZE
0.46543, 2060-2079, gfdl_esm2g, Annual Anomaly, AZE
0.23403, 2060-2079, gfdl_esm2m, Annual Anomaly, AZE
0.53206, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, AZE
0.89179, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, AZE
0.34418, 2060-2079, miroc5, Annual Anomaly, AZE
0.66983, 2060-2079, miroc_esm_chem, Annual Anomaly, AZE
0.61982, 2060-2079, miroc_esm, Annual Anomaly, AZE
0.07396, 2060-2079, mri_cgcm3, Annual Anomaly, AZE
0.19147, 2060-2079, noresm1_m, Annual Anomaly, AZE
0.24402, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BHS
0.23804, 2060-2079, bcc_csm1_1, Annual Anomaly, BHS
0.0239, 2060-2079, ccsm4, Annual Anomaly, BHS
0.1, 2060-2079, cesm1_cam5, Annual Anomaly, BHS
0.04701, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BHS
0.16494, 2060-2079, gfdl_cm3, Annual Anomaly, BHS
0.35896, 2060-2079, gfdl_esm2g, Annual Anomaly, BHS
-0.091, 2060-2079, gfdl_esm2m, Annual Anomaly, BHS
0.32908, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BHS
0.02091, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BHS
-0.041, 2060-2079, miroc5, Annual Anomaly, BHS
0.00298, 2060-2079, miroc_esm_chem, Annual Anomaly, BHS
-0.05, 2060-2079, miroc_esm, Annual Anomaly, BHS
-0.026, 2060-2079, mri_cgcm3, Annual Anomaly, BHS
0.14103, 2060-2079, noresm1_m, Annual Anomaly, BHS
0.00521, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BLR
0.00657, 2060-2079, bcc_csm1_1, Annual Anomaly, BLR
0.07968, 2060-2079, ccsm4, Annual Anomaly, BLR
0.53372, 2060-2079, cesm1_cam5, Annual Anomaly, BLR
0.09146, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BLR
0.17142, 2060-2079, gfdl_cm3, Annual Anomaly, BLR
0.06645, 2060-2079, gfdl_esm2g, Annual Anomaly, BLR
0.0593, 2060-2079, gfdl_esm2m, Annual Anomaly, BLR
0.13104, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BLR
0.15397, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BLR
0.57306, 2060-2079, miroc5, Annual Anomaly, BLR
0.141, 2060-2079, miroc_esm_chem, Annual Anomaly, BLR
-0.0188, 2060-2079, miroc_esm, Annual Anomaly, BLR
-0.0153, 2060-2079, mri_cgcm3, Annual Anomaly, BLR
0.1472, 2060-2079, noresm1_m, Annual Anomaly, BLR
0.51621, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BLZ
0.51283, 2060-2079, bcc_csm1_1, Annual Anomaly, BLZ
0.43436, 2060-2079, ccsm4, Annual Anomaly, BLZ
0.39681, 2060-2079, cesm1_cam5, Annual Anomaly, BLZ
0.03426, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BLZ
0.04217, 2060-2079, gfdl_cm3, Annual Anomaly, BLZ
-0.0319, 2060-2079, gfdl_esm2g, Annual Anomaly, BLZ
-0.0138, 2060-2079, gfdl_esm2m, Annual Anomaly, BLZ
0.53482, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BLZ
0.80652, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BLZ
0.36383, 2060-2079, miroc5, Annual Anomaly, BLZ
-0.026, 2060-2079, miroc_esm_chem, Annual Anomaly, BLZ
0.25014, 2060-2079, miroc_esm, Annual Anomaly, BLZ
0.48751, 2060-2079, mri_cgcm3, Annual Anomaly, BLZ
0.35478, 2060-2079, noresm1_m, Annual Anomaly, BLZ
0.12491, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BOL
0.19166, 2060-2079, bcc_csm1_1, Annual Anomaly, BOL
0.03383, 2060-2079, ccsm4, Annual Anomaly, BOL
0.32367, 2060-2079, cesm1_cam5, Annual Anomaly, BOL
