Annual Severe Drought Likelihood - (Probability), Year, Model, Statistics, ISO3
0.32039, 2040-2059, access1_3, Annual Anomaly, AFG
0.60249, 2040-2059, bcc_csm1_1_m, Annual Anomaly, AFG
0.45233, 2040-2059, bcc_csm1_1, Annual Anomaly, AFG
0.28476, 2040-2059, bnu_esm, Annual Anomaly, AFG
0.37254, 2040-2059, canesm2, Annual Anomaly, AFG
0.20666, 2040-2059, ccsm4, Annual Anomaly, AFG
0.27048, 2040-2059, cesm1_bgc, Annual Anomaly, AFG
0.20474, 2040-2059, cesm1_cam5, Annual Anomaly, AFG
0.20099, 2040-2059, cnrm_cm5, Annual Anomaly, AFG
0.83235, 2040-2059, csiro_mk3_6_0, Annual Anomaly, AFG
0.33142, 2040-2059, gfdl_cm3, Annual Anomaly, AFG
0.43514, 2040-2059, gfdl_esm2g, Annual Anomaly, AFG
0.259, 2040-2059, gfdl_esm2m, Annual Anomaly, AFG
0.0176, 2040-2059, inmcm4, Annual Anomaly, AFG
0.81524, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, AFG
0.78637, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, AFG
0.62706, 2040-2059, ipsl_cm5b_lr, Annual Anomaly, AFG
0.48154, 2040-2059, miroc5, Annual Anomaly, AFG
0.42621, 2040-2059, miroc_esm_chem, Annual Anomaly, AFG
0.44644, 2040-2059, miroc_esm, Annual Anomaly, AFG
0.22345, 2040-2059, mpi_esm_mr, Annual Anomaly, AFG
0.20969, 2040-2059, mri_cgcm3, Annual Anomaly, AFG
0.53244, 2040-2059, noresm1_m, Annual Anomaly, AFG
0.23922, 2040-2059, access1_3, Annual Anomaly, ALB
0.21376, 2040-2059, bcc_csm1_1_m, Annual Anomaly, ALB
0.10466, 2040-2059, bcc_csm1_1, Annual Anomaly, ALB
0.44561, 2040-2059, bnu_esm, Annual Anomaly, ALB
0.32246, 2040-2059, canesm2, Annual Anomaly, ALB
0.4775, 2040-2059, ccsm4, Annual Anomaly, ALB
0.1851, 2040-2059, cesm1_bgc, Annual Anomaly, ALB
0.14128, 2040-2059, cesm1_cam5, Annual Anomaly, ALB
0.14804, 2040-2059, cnrm_cm5, Annual Anomaly, ALB
0.63194, 2040-2059, csiro_mk3_6_0, Annual Anomaly, ALB
0.69248, 2040-2059, gfdl_cm3, Annual Anomaly, ALB
0.12178, 2040-2059, gfdl_esm2g, Annual Anomaly, ALB
0.31175, 2040-2059, gfdl_esm2m, Annual Anomaly, ALB
0.29942, 2040-2059, inmcm4, Annual Anomaly, ALB
0.03375, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, ALB
0.21106, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, ALB
0.00703, 2040-2059, ipsl_cm5b_lr, Annual Anomaly, ALB
0.45168, 2040-2059, miroc5, Annual Anomaly, ALB
0.76323, 2040-2059, miroc_esm_chem, Annual Anomaly, ALB
0.77654, 2040-2059, miroc_esm, Annual Anomaly, ALB
