Annual Severe Drought Likelihood - (Probability), Year, Model, Statistics, ISO3
0.32029, 2080-2099, bcc_csm1_1_m, Annual Anomaly, AFG
0.28068, 2080-2099, bcc_csm1_1, Annual Anomaly, AFG
0.19843, 2080-2099, bnu_esm, Annual Anomaly, AFG
0.18593, 2080-2099, canesm2, Annual Anomaly, AFG
0.13916, 2080-2099, ccsm4, Annual Anomaly, AFG
0.2118, 2080-2099, cesm1_cam5, Annual Anomaly, AFG
0.37612, 2080-2099, cnrm_cm5, Annual Anomaly, AFG
0.58312, 2080-2099, csiro_mk3_6_0, Annual Anomaly, AFG
0.38002, 2080-2099, gfdl_cm3, Annual Anomaly, AFG
0.12972, 2080-2099, gfdl_esm2g, Annual Anomaly, AFG
0.10257, 2080-2099, gfdl_esm2m, Annual Anomaly, AFG
0.50498, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, AFG
0.66231, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, AFG
0.20796, 2080-2099, miroc5, Annual Anomaly, AFG
0.4304, 2080-2099, miroc_esm_chem, Annual Anomaly, AFG
0.51454, 2080-2099, miroc_esm, Annual Anomaly, AFG
0.12431, 2080-2099, mpi_esm_mr, Annual Anomaly, AFG
0.04054, 2080-2099, mri_cgcm3, Annual Anomaly, AFG
0.54699, 2080-2099, noresm1_m, Annual Anomaly, AFG
0.14185, 2080-2099, bcc_csm1_1_m, Annual Anomaly, ALB
-0.0022, 2080-2099, bcc_csm1_1, Annual Anomaly, ALB
0.57145, 2080-2099, bnu_esm, Annual Anomaly, ALB
0.15289, 2080-2099, canesm2, Annual Anomaly, ALB
0.318, 2080-2099, ccsm4, Annual Anomaly, ALB
0.10231, 2080-2099, cesm1_cam5, Annual Anomaly, ALB
0.12544, 2080-2099, cnrm_cm5, Annual Anomaly, ALB
0.60785, 2080-2099, csiro_mk3_6_0, Annual Anomaly, ALB
0.41731, 2080-2099, gfdl_cm3, Annual Anomaly, ALB
-0.0392, 2080-2099, gfdl_esm2g, Annual Anomaly, ALB
0.3303, 2080-2099, gfdl_esm2m, Annual Anomaly, ALB
0.01787, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, ALB
0.10734, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, ALB
0.27827, 2080-2099, miroc5, Annual Anomaly, ALB
0.70246, 2080-2099, miroc_esm_chem, Annual Anomaly, ALB
0.71283, 2080-2099, miroc_esm, Annual Anomaly, ALB
0.00241, 2080-2099, mpi_esm_mr, Annual Anomaly, ALB
0.07657, 2080-2099, mri_cgcm3, Annual Anomaly, ALB
0.1231, 2080-2099, noresm1_m, Annual Anomaly, ALB
0.36389, 2080-2099, bcc_csm1_1_m, Annual Anomaly, DZA
0.36971, 2080-2099, bcc_csm1_1, Annual Anomaly, DZA
0.49965, 2080-2099, bnu_esm, Annual Anomaly, DZA
0.45245, 2080-2099, canesm2, Annual Anomaly, DZA
0.33196, 2080-2099, ccsm4, Annual Anomaly, DZA
0.44423, 2080-2099, cesm1_cam5, Annual Anomaly, DZA
0.27064, 2080-2099, cnrm_cm5, Annual Anomaly, DZA
0.49187, 2080-2099, csiro_mk3_6_0, Annual Anomaly, DZA
0.89891, 2080-2099, gfdl_cm3, Annual Anomaly, DZA
0.11154, 2080-2099, gfdl_esm2g, Annual Anomaly, DZA
0.52004, 2080-2099, gfdl_esm2m, Annual Anomaly, DZA
0.51815, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, DZA
0.37856, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, DZA
0.46318, 2080-2099, miroc5, Annual Anomaly, DZA
0.5396, 2080-2099, miroc_esm_chem, Annual Anomaly, DZA
0.72523, 2080-2099, miroc_esm, Annual Anomaly, DZA
0.57113, 2080-2099, mpi_esm_mr, Annual Anomaly, DZA
0.41523, 2080-2099, mri_cgcm3, Annual Anomaly, DZA
0.51078, 2080-2099, noresm1_m, Annual Anomaly, DZA
0.18737, 2080-2099, bcc_csm1_1_m, Annual Anomaly, AND
0.15, 2080-2099, bcc_csm1_1, Annual Anomaly, AND
0.07869, 2080-2099, bnu_esm, Annual Anomaly, AND
0.2211, 2080-2099, canesm2, Annual Anomaly, AND
-0.0423, 2080-2099, ccsm4, Annual Anomaly, AND
0.09035, 2080-2099, cesm1_cam5, Annual Anomaly, AND
-0.0279, 2080-2099, cnrm_cm5, Annual Anomaly, AND
0.36924, 2080-2099, csiro_mk3_6_0, Annual Anomaly, AND
0.65475, 2080-2099, gfdl_cm3, Annual Anomaly, AND
0.05, 2080-2099, gfdl_esm2g, Annual Anomaly, AND
0.34709, 2080-2099, gfdl_esm2m, Annual Anomaly, AND
0.12007, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, AND
0.29054, 2080-2099, miroc5, Annual Anomaly, AND
0.55579, 2080-2099, miroc_esm_chem, Annual Anomaly, AND
0.21151, 2080-2099, miroc_esm, Annual Anomaly, AND
0.38943, 2080-2099, mpi_esm_mr, Annual Anomaly, AND
-0.0018, 2080-2099, mri_cgcm3, Annual Anomaly, AND
-0.0115, 2080-2099, noresm1_m, Annual Anomaly, AND
0.26961, 2080-2099, bcc_csm1_1_m, Annual Anomaly, AGO
0.0457, 2080-2099, bcc_csm1_1, Annual Anomaly, AGO
0.06213, 2080-2099, bnu_esm, Annual Anomaly, AGO
0.42961, 2080-2099, canesm2, Annual Anomaly, AGO
0.03329, 2080-2099, ccsm4, Annual Anomaly, AGO
0.06086, 2080-2099, cesm1_cam5, Annual Anomaly, AGO
0.1316, 2080-2099, cnrm_cm5, Annual Anomaly, AGO
